representation,representation_key,model_seed,context_fid,correlational_score,discriminative_score,predictive_score,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
Frequency-as-Channel,frequency_as_channel,0,0.7019246197979193,0.13119198083877565,0.17739837398373987,0.11705065869864484,0.0013319934264126889,0.04553454516122739,0.016477246294336167,0.006891630174026322,0.012585212610757016,0.08874013472576535
Frequency-as-Channel,frequency_as_channel,42,0.8856048984932101,0.1257355734705925,0.14638211382113825,0.1169648426286282,0.0014261415839917052,0.03814066863576614,0.017639001060556637,0.006989108521894707,0.012663782722855201,0.08853031772604882
Frequency-as-Channel,frequency_as_channel,123,0.9561440632046668,0.12185524255037308,0.1740650406504065,0.11922351789626191,0.0014663335066316873,0.04418652292431435,0.019342320144792986,0.007816967390255261,0.013610645273441918,0.08497444550736968
Period-Aligned 2D,period_aligned_2d,0,0.8477904938435946,0.06927350759506226,0.14138211382113824,0.11485335432095478,0.0014241304946346542,0.01710613730266942,0.017224915533239418,0.007701595511507864,0.01265744404600328,0.06753289531958621
Period-Aligned 2D,period_aligned_2d,42,0.9184333130558011,0.08328456580638885,0.14020325203252035,0.11551991921369335,0.0014999881183422408,0.012400776764268612,0.017775130712183118,0.007934605726289993,0.013521965933384616,0.07778397817460322
Period-Aligned 2D,period_aligned_2d,123,0.9351780430754241,0.0800784945487976,0.16500000000000004,0.11540904619669164,0.0014639211262645019,0.014671079415409249,0.0163599730023896,0.007828149252729049,0.012979370494099593,0.06602929908942748
STFT / Spectrogram,stft_spectrogram,0,0.9480179315401335,0.10684347301721572,0.17256097560975614,0.1150642758291421,0.0013722470484500882,0.023661552533571464,0.018720946982172026,0.007336566905231467,0.01170800100264254,0.06501088391085606
STFT / Spectrogram,stft_spectrogram,42,1.112446729841465,0.09266749173402786,0.16239837398373988,0.11598450755397305,0.00144320761140472,0.031183199108863323,0.019365579332683965,0.00737587001536436,0.011918430690708727,0.06843505305768145
STFT / Spectrogram,stft_spectrogram,123,1.1170397120768547,0.11616468280553818,0.1877642276422764,0.1172733183764952,0.0015619492911429884,0.01634308383684601,0.020695835672082462,0.007855178779774801,0.012189625740909602,0.059501886692176945
