dataset,seed,site,entropy_quintile,windows,spectral_entropy_mean,gate_mean,paired_error_improvement_mean,fraction_cg64_better
Energy,0,decoder,3,382,0.9173061210347576,0.7231044,0.62543154,0.8507853403141361
Energy,0,decoder,4,382,0.9254035638447214,0.56788665,0.3916626,0.6413612565445026
Energy,0,decoder,5,382,0.9388960442151892,0.35572365,-0.1512314,0.49476439790575916
Energy,0,encoder,1,383,0.895048138398991,0.99684495,0.015607103,0.12010443864229765
Energy,0,encoder,2,382,0.9088641443479517,0.8750566,0.5370532,0.9267015706806283
Energy,0,encoder,3,382,0.9173061210347576,0.7231044,0.62543154,0.8507853403141361
Energy,0,encoder,4,382,0.9254035638447214,0.56788665,0.3916626,0.6413612565445026
Energy,0,encoder,5,382,0.9388960442151892,0.35572365,-0.1512314,0.49476439790575916
Energy,42,decoder,1,383,0.895048138398991,0.99684495,0.0035386814,0.10704960835509138
Energy,42,decoder,2,382,0.9088641443479517,0.8750566,0.25108936,0.8900523560209425
Energy,42,decoder,3,382,0.9173061210347576,0.7231044,0.5448367,0.7984293193717278
Energy,42,decoder,4,382,0.9254035638447214,0.56788665,0.68628347,0.743455497382199
Energy,42,decoder,5,382,0.9388960442151892,0.35572365,1.1749794,0.7984293193717278
Energy,42,encoder,1,383,0.895048138398991,0.99684495,0.0035386814,0.10704960835509138
Energy,42,encoder,2,382,0.9088641443479517,0.8750566,0.25108936,0.8900523560209425
Energy,42,encoder,3,382,0.9173061210347576,0.7231044,0.5448367,0.7984293193717278
Energy,42,encoder,4,382,0.9254035638447214,0.56788665,0.68628347,0.743455497382199
Energy,42,encoder,5,382,0.9388960442151892,0.35572365,1.1749794,0.7984293193717278
Energy,123,decoder,1,383,0.895048138398991,0.99684495,0.008334593,0.09921671018276762
Energy,123,decoder,2,382,0.9088641443479517,0.8750566,0.45109442,0.8298429319371727
Energy,123,decoder,3,382,0.9173061210347576,0.7231044,0.35413048,0.7041884816753927
Energy,123,decoder,4,382,0.9254035638447214,0.56788665,0.024004892,0.5130890052356021
Energy,123,decoder,5,382,0.9388960442151892,0.35572365,0.4804069,0.5680628272251309
Energy,123,encoder,1,383,0.895048138398991,0.99684495,0.008334593,0.09921671018276762
Energy,123,encoder,2,382,0.9088641443479517,0.8750566,0.45109442,0.8298429319371727
Energy,123,encoder,3,382,0.9173061210347576,0.7231044,0.35413048,0.7041884816753927
Energy,123,encoder,4,382,0.9254035638447214,0.56788665,0.024004892,0.5130890052356021
Energy,123,encoder,5,382,0.9388960442151892,0.35572365,0.4804069,0.5680628272251309
