dataset,seed,site,confidence_quintile,windows,confidence_mean,gate_mean,sh64_error_mean,cg64_error_mean,paired_error_improvement_mean,fraction_cg64_better
ETTh,42,encoder,5,336,0.11879476260760766,1.0,2.1878607,2.1878607,0.0,0.0
ETTh,123,decoder,1,336,0.04300683226925345,0.35724545,2.3407435,2.2997894,0.040954135,0.5238095238095238
ETTh,123,decoder,2,336,0.05947727491622411,0.57779545,2.2864573,2.2906399,-0.0041826423,0.47619047619047616
ETTh,123,decoder,3,335,0.07318560210086857,0.7743946,2.2829714,2.2786617,0.004309455,0.4716417910447761
ETTh,123,decoder,4,336,0.08801518723041453,0.95711946,2.378208,2.3711414,0.007066638,0.30654761904761907
ETTh,123,decoder,5,336,0.11879476260760766,1.0,2.3407001,2.3407001,0.0,0.0
ETTh,123,encoder,1,336,0.04300683226925345,0.35724545,2.3407435,2.2997894,0.040954135,0.5238095238095238
ETTh,123,encoder,2,336,0.05947727491622411,0.57779545,2.2864573,2.2906399,-0.0041826423,0.47619047619047616
ETTh,123,encoder,3,335,0.07318560210086857,0.7743946,2.2829714,2.2786617,0.004309455,0.4716417910447761
ETTh,123,encoder,4,336,0.08801518723041453,0.95711946,2.378208,2.3711414,0.007066638,0.30654761904761907
ETTh,123,encoder,5,336,0.11879476260760766,1.0,2.3407001,2.3407001,0.0,0.0
Energy,0,decoder,1,383,0.02733823147619476,0.35537302,7.1310787,7.273216,-0.14213663,0.49869451697127937
Energy,0,decoder,2,382,0.03524492477043629,0.56731766,5.948229,5.5502853,0.39794356,0.6413612565445026
Energy,0,decoder,3,382,0.04026204141978181,0.7225624,6.2507806,5.5973673,0.6534135,0.8586387434554974
Energy,0,decoder,4,382,0.04522734673666699,0.87620384,6.1994276,5.6953373,0.50409037,0.9424083769633508
Energy,0,decoder,5,382,0.05435990416223345,0.99883884,6.587804,6.5821795,0.0056251325,0.09162303664921466
Energy,0,encoder,1,383,0.02733823147619476,0.35537302,7.1310787,7.273216,-0.14213663,0.49869451697127937
Energy,0,encoder,2,382,0.03524492477043629,0.56731766,5.948229,5.5502853,0.39794356,0.6413612565445026
Energy,0,encoder,3,382,0.04026204141978181,0.7225624,6.2507806,5.5973673,0.6534135,0.8586387434554974
Energy,0,encoder,4,382,0.04522734673666699,0.87620384,6.1994276,5.6953373,0.50409037,0.9424083769633508
Energy,0,encoder,5,382,0.05435990416223345,0.99883884,6.587804,6.5821795,0.0056251325,0.09162303664921466
Energy,42,decoder,1,383,0.02733823147619476,0.35537302,7.9605384,6.7963996,1.1641392,0.7911227154046997
Energy,42,decoder,2,382,0.03524492477043629,0.56731766,6.421527,5.739176,0.68235034,0.7513089005235603
Energy,42,decoder,3,382,0.04026204141978181,0.7225624,6.465805,5.918782,0.5470223,0.8010471204188482
Energy,42,decoder,4,382,0.04522734673666699,0.87620384,6.3323455,6.0728984,0.2594478,0.900523560209424
Energy,42,decoder,5,382,0.05435990416223345,0.99883884,6.7860665,6.7813363,0.00472999,0.09162303664921466
Energy,42,encoder,1,383,0.02733823147619476,0.35537302,7.9605384,6.7963996,1.1641392,0.7911227154046997
Energy,42,encoder,2,382,0.03524492477043629,0.56731766,6.421527,5.739176,0.68235034,0.7513089005235603
Energy,42,encoder,3,382,0.04026204141978181,0.7225624,6.465805,5.918782,0.5470223,0.8010471204188482
Energy,42,encoder,4,382,0.04522734673666699,0.87620384,6.3323455,6.0728984,0.2594478,0.900523560209424
Energy,42,encoder,5,382,0.05435990416223345,0.99883884,6.7860665,6.7813363,0.00472999,0.09162303664921466
Energy,123,decoder,1,383,0.02733823147619476,0.35537302,7.57074,7.140794,0.4299462,0.5430809399477807
Energy,123,decoder,2,382,0.03524492477043629,0.56731766,5.937744,5.86675,0.07099416,0.5418848167539267
Energy,123,decoder,3,382,0.04026204141978181,0.7225624,6.227516,5.822822,0.40469322,0.7146596858638743
Energy,123,decoder,4,382,0.04522734673666699,0.87620384,6.1916633,5.7852216,0.40644133,0.837696335078534
Energy,123,decoder,5,382,0.05435990416223345,0.99883884,6.4334054,6.4286127,0.004792644,0.07591623036649214
Energy,123,encoder,1,383,0.02733823147619476,0.35537302,7.57074,7.140794,0.4299462,0.5430809399477807
Energy,123,encoder,2,382,0.03524492477043629,0.56731766,5.937744,5.86675,0.07099416,0.5418848167539267
Energy,123,encoder,3,382,0.04026204141978181,0.7225624,6.227516,5.822822,0.40469322,0.7146596858638743
Energy,123,encoder,4,382,0.04522734673666699,0.87620384,6.1916633,5.7852216,0.40644133,0.837696335078534
Energy,123,encoder,5,382,0.05435990416223345,0.99883884,6.4334054,6.4286127,0.004792644,0.07591623036649214
