dataset,seed,window,site,confidence,normalized_confidence,gate,topk_mass,spectral_entropy,top1_period,candidate_vector,sh64_error,cg64_error,paired_error_improvement
ETTh,0,13,decoder,0.05996946145078509,0.44647226,0.5848542,0.5617510480554397,0.8932454836383916,64,"[64, 21, 16, 12, 9, 32, 8, 6, 10]",2.4175534,2.6678407,-0.2502873
ETTh,0,14,encoder,0.05605804588845597,0.37167773,0.5287583,0.5496825561299407,0.8980174188478263,64,"[64, 21, 16, 32, 12, 9, 8, 10, 6]",2.3652284,2.4476483,-0.08241987
ETTh,0,14,decoder,0.05605804588845597,0.37167773,0.5287583,0.5496825561299407,0.8980174188478263,64,"[64, 21, 16, 32, 12, 9, 8, 10, 6]",2.3652284,2.4476483,-0.08241987
ETTh,0,15,encoder,0.059854420443184383,0.44427243,0.5832043,0.5653365098502343,0.8941260304255944,64,"[64, 21, 16, 32, 12, 9, 10, 2, 5]",2.4337757,2.765931,-0.33215523
ETTh,0,15,decoder,0.059854420443184383,0.44427243,0.5832043,0.5653365098502343,0.8941260304255944,64,"[64, 21, 16, 32, 12, 9, 10, 2, 5]",2.4337757,2.765931,-0.33215523
ETTh,0,16,encoder,0.06475708502909296,0.53802174,0.6535163,0.5761450365653467,0.8876028067253025,64,"[64, 21, 16, 32, 12, 9, 10, 2, 4]",2.622469,2.9109523,-0.28848338
ETTh,0,16,decoder,0.06475708502909296,0.53802174,0.6535163,0.5761450365653467,0.8876028067253025,64,"[64, 21, 16, 32, 12, 9, 10, 2, 4]",2.622469,2.9109523,-0.28848338
ETTh,0,17,encoder,0.061270352268483735,0.47134796,0.603511,0.5717369276414942,0.8928347124240624,64,"[64, 21, 16, 32, 12, 10, 9, 2, 4]",2.4383185,2.5002122,-0.0618937
ETTh,0,17,decoder,0.061270352268483735,0.47134796,0.603511,0.5717369276414942,0.8928347124240624,64,"[64, 21, 16, 32, 12, 10, 9, 2, 4]",2.4383185,2.5002122,-0.0618937
ETTh,0,18,encoder,0.04889221080943224,0.23465185,0.42598888,0.5395636898422151,0.9093856541315265,64,"[64, 21, 16, 32, 12, 10, 9, 4, 2]",2.6228888,2.5083673,0.1145215
ETTh,0,18,decoder,0.04889221080943224,0.23465185,0.42598888,0.5395636898422151,0.9093856541315265,64,"[64, 21, 16, 32, 12, 10, 9, 4, 2]",2.6228888,2.5083673,0.1145215
ETTh,0,19,encoder,0.03481209026824041,0.0,0.25,0.4914604159677177,0.9291660342579308,64,"[64, 21, 16, 32, 10, 12, 9, 4, 5]",2.17785,2.264354,-0.08650398
ETTh,0,19,decoder,0.03481209026824041,0.0,0.25,0.4914604159677177,0.9291660342579308,64,"[64, 21, 16, 32, 10, 12, 9, 4, 5]",2.17785,2.264354,-0.08650398
ETTh,0,20,encoder,0.04048606579858875,0.073908605,0.30543146,0.5036078747552954,0.9196079572459802,21,"[21, 64, 32, 16, 10, 12, 9, 5, 4]",1.9403698,2.1837249,-0.24335504
ETTh,0,20,decoder,0.04048606579858875,0.073908605,0.30543146,0.5036078747552954,0.9196079572459802,21,"[21, 64, 32, 16, 10, 12, 9, 5, 4]",1.9403698,2.1837249,-0.24335504
ETTh,0,21,encoder,0.041360604140061985,0.090631604,0.3179737,0.5154345078649792,0.9197558496589898,21,"[21, 64, 32, 10, 12, 16, 8, 6, 9]",1.9984847,2.351675,-0.3531903
ETTh,0,21,decoder,0.041360604140061985,0.090631604,0.3179737,0.5154345078649792,0.9197558496589898,21,"[21, 64, 32, 10, 12, 16, 8, 6, 9]",1.9984847,2.351675,-0.3531903
ETTh,0,22,encoder,0.05075513899755969,0.27027497,0.45270622,0.5491875444148178,0.9075814090946993,21,"[21, 64, 32, 10, 12, 16, 8, 6, 9]",1.9767712,2.324084,-0.3473128
ETTh,0,22,decoder,0.05075513899755969,0.27027497,0.45270622,0.5491875444148178,0.9075814090946993,21,"[21, 64, 32, 10, 12, 16, 8, 6, 9]",1.9767712,2.324084,-0.3473128
ETTh,0,23,encoder,0.06437670685354979,0.53074807,0.64806104,0.5789537454922769,0.8888050947855755,21,"[21, 64, 32, 12, 10, 8, 16, 2, 4]",2.0770442,2.0253594,0.051684856
ETTh,0,23,decoder,0.06437670685354979,0.53074807,0.64806104,0.5789537454922769,0.8888050947855755,21,"[21, 64, 32, 12, 10, 8, 16, 2, 4]",2.0770442,2.0253594,0.051684856
ETTh,0,24,encoder,0.06490554702781605,0.5408606,0.65564543,0.5808584028219363,0.8882592612717819,21,"[21, 64, 32, 12, 10, 8, 16, 2, 4]",1.9073687,1.9659921,-0.058623433
ETTh,0,24,decoder,0.06490554702781605,0.5408606,0.65564543,0.5808584028219363,0.8882592612717819,21,"[21, 64, 32, 12, 10, 8, 16, 2, 4]",1.9073687,1.9659921,-0.058623433
ETTh,0,25,encoder,0.06727301771369551,0.58613163,0.68959874,0.5807935277343859,0.8841705106871276,21,"[21, 64, 32, 12, 10, 8, 16, 2, 5]",2.0400703,1.9333657,0.10670459
ETTh,0,25,decoder,0.06727301771369551,0.58613163,0.68959874,0.5807935277343859,0.8841705106871276,21,"[21, 64, 32, 12, 10, 8, 16, 2, 5]",2.0400703,1.9333657,0.10670459
ETTh,0,26,encoder,0.06711348119273113,0.58308095,0.6873107,0.5785050471497739,0.8839880800981922,21,"[21, 64, 32, 12, 10, 8, 2, 16, 5]",2.078055,1.899268,0.17878687
ETTh,0,26,decoder,0.06711348119273113,0.58308095,0.6873107,0.5785050471497739,0.8839880800981922,21,"[21, 64, 32, 12, 10, 8, 2, 16, 5]",2.078055,1.899268,0.17878687
ETTh,0,27,encoder,0.06643312499797388,0.57007116,0.67755336,0.577763219311644,0.8850166940756053,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.0634074,1.9454051,0.118002295
ETTh,0,27,decoder,0.06643312499797388,0.57007116,0.67755336,0.577763219311644,0.8850166940756053,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.0634074,1.9454051,0.118002295
ETTh,0,28,encoder,0.0692007300399499,0.6229935,0.71724516,0.5853716725729643,0.8817832613324412,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.0162714,1.9311078,0.08516359
ETTh,0,28,decoder,0.0692007300399499,0.6229935,0.71724516,0.5853716725729643,0.8817832613324412,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.0162714,1.9311078,0.08516359
ETTh,0,29,encoder,0.0725456699109007,0.68695587,0.7652169,0.5911263995257835,0.8772755370609422,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.054955,1.9406928,0.11426222
ETTh,0,29,decoder,0.0725456699109007,0.68695587,0.7652169,0.5911263995257835,0.8772755370609422,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.054955,1.9406928,0.11426222
ETTh,0,30,encoder,0.07568412954494694,0.7469699,0.8102274,0.5978063126771979,0.8733969047499592,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.9679295,2.0635593,-0.09562981
ETTh,0,30,decoder,0.07568412954494694,0.7469699,0.8102274,0.5978063126771979,0.8733969047499592,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.9679295,2.0635593,-0.09562981
ETTh,0,31,encoder,0.07664187047417093,0.7652838,0.82396287,0.5984313680153505,0.8719287213697579,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.0485952,1.9010828,0.14751244
ETTh,0,31,decoder,0.07664187047417093,0.7652838,0.82396287,0.5984313680153505,0.8719287213697579,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.0485952,1.9010828,0.14751244
ETTh,0,32,encoder,0.0769079171877774,0.7703712,0.8277784,0.5989165149983818,0.8715882510136072,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.0258253,2.0183105,0.007514715
ETTh,0,32,decoder,0.0769079171877774,0.7703712,0.8277784,0.5989165149983818,0.8715882510136072,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.0258253,2.0183105,0.007514715
ETTh,0,33,encoder,0.0780205296853495,0.7916467,0.84373504,0.600337286896682,0.8700388408511817,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.1887207,2.0787923,0.10992837
ETTh,0,33,decoder,0.0780205296853495,0.7916467,0.84373504,0.600337286896682,0.8700388408511817,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",2.1887207,2.0787923,0.10992837
ETTh,0,34,encoder,0.0772239710209632,0.7764149,0.83231115,0.5980591382307695,0.8708756942508832,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.8459933,1.8730847,-0.027091384
ETTh,0,34,decoder,0.0772239710209632,0.7764149,0.83231115,0.5980591382307695,0.8708756942508832,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.8459933,1.8730847,-0.027091384
ETTh,0,35,encoder,0.0777624060695322,0.7867109,0.8400332,0.5998532357213725,0.870364280062578,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.9227644,1.9190623,0.0037021637
ETTh,0,35,decoder,0.0777624060695322,0.7867109,0.8400332,0.5998532357213725,0.870364280062578,21,"[21, 32, 64, 12, 10, 8, 2, 5, 4]",1.9227644,1.9190623,0.0037021637
ETTh,0,36,encoder,0.0768846148456946,0.76992565,0.82744426,0.5979714405263507,0.8714242693965139,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",1.9918982,1.9970893,-0.0051910877
ETTh,0,36,decoder,0.0768846148456946,0.76992565,0.82744426,0.5979714405263507,0.8714242693965139,21,"[21, 32, 64, 12, 10, 8, 5, 2, 4]",1.9918982,1.9970893,-0.0051910877
ETTh,0,37,encoder,0.07644209245558178,0.76146364,0.82109773,0.5975593690208929,0.8720761544064937,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.1507,1.8578044,0.29289567
ETTh,0,37,decoder,0.07644209245558178,0.76146364,0.82109773,0.5975593690208929,0.8720761544064937,21,"[21, 32, 64, 12, 10, 8, 2, 5, 16]",2.1507,1.8578044,0.29289567
