dataset,total_windows,pets_improves_mae_count,pets_improves_crps_count,pets_improves_both_count,eligible_count,pets_improves_mae_fraction,pets_improves_crps_fraction,pets_improves_both_fraction,eligible_fraction,selected_window_index,selected_origin_row,selected_delta_mae,selected_delta_crps,selected_joint_gain,selected_curvature_pct,selected_variation_pct,selected_range_pct,selected_boundary_jump_pct,median_eligible_joint_gain
ETTh,1679,720,623,606,72,0.4288266825491364,0.3710541989279333,0.36092912447885644,0.04288266825491364,104,15782,-13.362904224341685,-14.617605537685844,13.990254881013765,0.7778439547349613,0.4889815366289458,0.4389517569982132,0.5199523525908278,13.879457274382277
AirQuality,872,379,379,354,65,0.43463302752293576,0.43463302752293576,0.4059633027522936,0.07454128440366972,272,8694,-26.321955492680488,-18.273601156004293,22.29777832434239,0.6376146788990825,0.7935779816513762,0.7047018348623854,0.5435779816513762,22.29777832434239
