dataset,aggregate_delta_mae,aggregate_delta_crps,selected_delta_mae,selected_delta_crps,euclidean_distance_percentage_points
ETTh,-3.1256148517531,-3.0701845613277046,-13.362904224341685,-14.617605537685844,15.431948188850011
AirQuality,-0.23765878058537027,-0.4561437989803574,-26.321955492680488,-18.273601156004293,31.588800572892644
