status_this_run,checkpoint,checkpoint_sha256,checkpoint_step,dataset,diagnostics,draw_ids,feature_index,gpu,inverse_transform_count,marker,model_seed,origin_row,raw_or_calibrated,runtime_seconds,selection_manifest_sha256,shape,status,system,trajectories,used_for_selection_or_reselection,window_frozen_before_generation,window_index
GENERATED,/path/to/Diffusion-TS/artifacts/train-only/etth/seed_0/checkpoints_128/checkpoint-10.pt,c6853ef3aa9d90cd8094284d79d44435d73b86d504c5b4de14bd30bfcd6c9ca5,18000,ETTh,{},"[430000, 430001, 430002, 430003, 430004, 430005, 430006, 430007, 430008, 430009, 430010, 430011, 430012, 430013, 430014, 430015, 430016, 430017, 430018, 430019, 430020, 430021, 430022, 430023, 430024, 430025, 430026, 430027, 430028, 430029, 430030, 430031, 430032, 430033, 430034, 430035, 430036, 430037, 430038, 430039, 430040, 430041, 430042, 430043, 430044, 430045, 430046, 430047, 430048, 430049, 430050, 430051, 430052, 430053, 430054, 430055, 430056, 430057, 430058, 430059, 430060, 430061, 430062, 430063, 430064, 430065, 430066, 430067, 430068, 430069, 430070, 430071, 430072, 430073, 430074, 430075, 430076, 430077, 430078, 430079, 430080, 430081, 430082, 430083, 430084, 430085, 430086, 430087, 430088, 430089, 430090, 430091, 430092, 430093, 430094, 430095, 430096, 430097, 430098, 430099]",0,0,1,FINAL_PROBABILISTIC_QUALITATIVE_V3,0,15782,raw_uncalibrated,13.322171449661255,f0a87256cc5a7a0b009db5794f1b265c07dcdbdd4d4990af06e4a6021c0f2fc3,"[100, 128, 7]",COMPLETE,TS_REC_ORIGINAL,100,False,True,104
GENERATED,/path/to/PETS-FFT-Ablation/artifacts/fft_ablation/seed_0/SH/checkpoints/checkpoint-step-18000.pt,ee4c2ba77c8b246f6e6f058d55be6ca51ff99bcc29118f24a5094a06ab525fd2,18000,ETTh,"{'confidence_mean': 0.08539846766947426, 'gate_max': 0.9040265679359436, 'gate_mean': 0.9040268063545227, 'gate_min': 0.9040265679359436, 'initial_noise_sha256': '984fd1109ea04e2ab17364b8ed4c90699c924cc7a1b73b03a085edf5d3fc2edb'}","[430000, 430001, 430002, 430003, 430004, 430005, 430006, 430007, 430008, 430009, 430010, 430011, 430012, 430013, 430014, 430015, 430016, 430017, 430018, 430019, 430020, 430021, 430022, 430023, 430024, 430025, 430026, 430027, 430028, 430029, 430030, 430031, 430032, 430033, 430034, 430035, 430036, 430037, 430038, 430039, 430040, 430041, 430042, 430043, 430044, 430045, 430046, 430047, 430048, 430049, 430050, 430051, 430052, 430053, 430054, 430055, 430056, 430057, 430058, 430059, 430060, 430061, 430062, 430063, 430064, 430065, 430066, 430067, 430068, 430069, 430070, 430071, 430072, 430073, 430074, 430075, 430076, 430077, 430078, 430079, 430080, 430081, 430082, 430083, 430084, 430085, 430086, 430087, 430088, 430089, 430090, 430091, 430092, 430093, 430094, 430095, 430096, 430097, 430098, 430099]",0,0,1,FINAL_PROBABILISTIC_QUALITATIVE_V3,0,15782,raw_uncalibrated,22.2015540599823,f0a87256cc5a7a0b009db5794f1b265c07dcdbdd4d4990af06e4a6021c0f2fc3,"[100, 128, 7]",COMPLETE,PETS_SHTRAIN_CG64_REC,100,False,True,104
GENERATED,/path/to/PETS-FFT-Ablation/results/histcond_cg64_final_forecast/training/final/AirQuality/TS_REC_ORIGINAL/seed_0/checkpoints_128/checkpoint-10.pt,676db36930cb679b5c30c0010bc214d8342e094661b13f2a2e48ade53aee76d0,18000,AirQuality,{},"[430000, 430001, 430002, 430003, 430004, 430005, 430006, 430007, 430008, 430009, 430010, 430011, 430012, 430013, 430014, 430015, 430016, 430017, 430018, 430019, 430020, 430021, 430022, 430023, 430024, 430025, 430026, 430027, 430028, 430029, 430030, 430031, 430032, 430033, 430034, 430035, 430036, 430037, 430038, 430039, 430040, 430041, 430042, 430043, 430044, 430045, 430046, 430047, 430048, 430049, 430050, 430051, 430052, 430053, 430054, 430055, 430056, 430057, 430058, 430059, 430060, 430061, 430062, 430063, 430064, 430065, 430066, 430067, 430068, 430069, 430070, 430071, 430072, 430073, 430074, 430075, 430076, 430077, 430078, 430079, 430080, 430081, 430082, 430083, 430084, 430085, 430086, 430087, 430088, 430089, 430090, 430091, 430092, 430093, 430094, 430095, 430096, 430097, 430098, 430099]",0,0,1,FINAL_PROBABILISTIC_QUALITATIVE_V3,0,8694,raw_uncalibrated,13.48032021522522,f0a87256cc5a7a0b009db5794f1b265c07dcdbdd4d4990af06e4a6021c0f2fc3,"[100, 128, 9]",COMPLETE,TS_REC_ORIGINAL,100,False,True,272
GENERATED,/path/to/PETS-FFT-Ablation/results/histcond_cg64_final_forecast/training/final/AirQuality/PETS_SH64_TRAIN/seed_0/checkpoints/checkpoint-step-18000.pt,bc911b5c0d0cccaeb33c753cea060f5e06b1917e7ea61b9e0ba7077e8e3b4f20,18000,AirQuality,"{'confidence_mean': 0.08711908347006526, 'gate_max': 0.6865749359130859, 'gate_mean': 0.6865749955177307, 'gate_min': 0.6865749359130859, 'initial_noise_sha256': 'b7dd344140f535183a93d1fbb373204f30abb8cf3819ea52d432d7ac5f7b89ab'}","[430000, 430001, 430002, 430003, 430004, 430005, 430006, 430007, 430008, 430009, 430010, 430011, 430012, 430013, 430014, 430015, 430016, 430017, 430018, 430019, 430020, 430021, 430022, 430023, 430024, 430025, 430026, 430027, 430028, 430029, 430030, 430031, 430032, 430033, 430034, 430035, 430036, 430037, 430038, 430039, 430040, 430041, 430042, 430043, 430044, 430045, 430046, 430047, 430048, 430049, 430050, 430051, 430052, 430053, 430054, 430055, 430056, 430057, 430058, 430059, 430060, 430061, 430062, 430063, 430064, 430065, 430066, 430067, 430068, 430069, 430070, 430071, 430072, 430073, 430074, 430075, 430076, 430077, 430078, 430079, 430080, 430081, 430082, 430083, 430084, 430085, 430086, 430087, 430088, 430089, 430090, 430091, 430092, 430093, 430094, 430095, 430096, 430097, 430098, 430099]",0,0,1,FINAL_PROBABILISTIC_QUALITATIVE_V3,0,8694,raw_uncalibrated,20.078673839569092,f0a87256cc5a7a0b009db5794f1b265c07dcdbdd4d4990af06e4a6021c0f2fc3,"[100, 128, 9]",COMPLETE,PETS_SHTRAIN_CG64_REC,100,False,True,272
