dataset,window_index,origin_row,feature_index,feature_name,curvature,variation,robust_range,boundary_jump,normalized_boundary_jump,curvature_pct,variation_pct,range_pct,boundary_jump_pct,raw_boundary_jump_pct,typicality_distance,ts_mae,pets_mae,ts_crps,pets_crps,delta_mae,delta_crps,pets_improves_mae,pets_improves_crps,pets_improves_both,ground_truth_central_20_80,eligible,joint_gain,selected
ETTh,0,15678,0,HUFL,3.3425968000965733,11.088541683194087,33.73789901733399,1.9419994354248047,0.06517662474373742,0.6837403216200119,0.939249553305539,0.9297200714711138,0.49851101846337104,0.5241215008933889,0.6413752667193339,3.5953505648183635,3.9246434213593604,2.5125596106599555,3.352349596470594,9.158852540367862,33.42368404903465,False,False,False,False,False,-21.291268294701254,False
ETTh,1,15679,0,HUFL,3.227016137492272,10.98918982153434,33.650799465179446,2.745999336242676,0.09216015464272824,0.5944014294222751,0.93210244192972,0.9240619416319238,0.6012507444907683,0.6357951161405598,0.6210510396087973,4.2625849693664355,4.048592039104551,3.2361950448749117,3.4742283430043606,-5.020261925563238,7.355344620109247,True,False,False,False,False,-1.1675413472730045,False
ETTh,2,15680,0,HUFL,3.2767258113430393,10.994304450510459,33.650799465179446,9.980000257492065,0.3349448613936786,0.6432400238237046,0.9332936271590232,0.9240619416319238,0.9696247766527695,0.9767718880285885,0.7801519294012154,3.5808206430345306,3.7573381032794715,2.537355604185141,3.189883200135082,4.9295253195187385,25.716836649685806,False,False,False,False,False,-15.323180984602272,False
ETTh,3,15681,0,HUFL,3.2951129251910793,11.077070017909953,33.650799465179446,8.840999841690063,0.2967181753661159,0.6533650982727814,0.9386539606908875,0.9240619416319238,0.9487790351399643,0.9594997022036926,0.7727673021808162,3.7764020652295587,4.076814119890333,2.807748534225648,3.569247437343001,7.95498067927555,27.12133561232071,False,False,False,False,False,-17.53815814579813,False
ETTh,4,15682,0,HUFL,3.2832096699745423,11.129875485269629,33.650799465179446,5.091000556945801,0.17086216752562117,0.6462179868969625,0.9416319237641453,0.9240619416319238,0.8106015485407981,0.8445503275759381,0.7019403878367443,3.607025377341779,4.043738640658557,2.640651381112985,3.482009162418544,12.107296667777163,31.86175151037707,False,False,False,False,False,-21.984524089077116,False
ETTh,5,15683,0,HUFL,3.2680644758286013,11.06335080237702,33.650799465179446,2.745999336242676,0.09216015464272824,0.6337105419892793,0.9362715902322811,0.9240619416319238,0.6012507444907683,0.6357951161405598,0.6311035201006585,3.563515099516371,3.8326435046270486,2.522206087436643,3.2581568699702625,7.5523295845499,29.17885204541623,False,False,False,False,False,-18.365590814983065,False
ETTh,6,15684,0,HUFL,3.1880967309398036,10.947737391300851,33.650799465179446,7.0329999923706055,0.2360387922693586,0.5574746873138773,0.9297200714711138,0.9240619416319238,0.9005360333531864,0.9201905896366885,0.72678767453907,3.6549455356282126,3.6665431238710884,2.75373424555386,3.0532871043495833,0.3173122042400675,10.878059830187935,False,False,False,False,False,-5.597686017214001,False
ETTh,7,15685,0,HUFL,3.2140160452935005,10.565331058775705,31.255549764633177,1.4739990234375,0.049469778142446456,0.5830851697438951,0.9029184038117928,0.8796902918403812,0.40738534842167956,0.4401429422275164,0.5674403730493823,3.6233488309779203,3.8988841306418185,2.710056025694357,3.2307644449174404,7.604437566380627,19.213935589751138,False,False,False,False,False,-13.409186578065881,False
ETTh,8,15686,0,HUFL,3.2701773105129117,10.234495213424623,30.793400287628174,3.5500011444091797,0.11914374855540712,0.6366885050625373,0.817748659916617,0.8737343656938654,0.6974389517569982,0.7313877307921381,0.5461753144060388,3.7959110618277916,3.917251457180828,2.9566479343239913,3.3641150090750305,3.1966079651668444,13.781386347042451,False,False,False,False,False,-8.488997156104649,False
ETTh,9,15687,0,HUFL,3.236677308236399,10.02414272095222,29.816050004959106,2.61199951171875,0.0872801944670058,0.604526503871352,0.7837998808814771,0.8320428826682549,0.5854675402025015,0.6176295413936868,0.4571928901009059,3.733734063458178,3.563051648018882,2.9679054156255367,3.1000939002400263,-4.5713597309930085,4.453931851013138,True,False,False,False,False,0.05871393998993524,False
