dataset,system,model_seed,window_index,origin_row,draws,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,empirical_crps
ETTh,TS_REC_ORIGINAL,0,104,15782,10,3.7803733868400737,5.775319047598139,4.115248014951794,3.1759838733591454
ETTh,PETS_SELECTED_CALIBRATED,0,104,15782,10,3.2752057118341327,4.600804379544955,3.631647519022226,2.7117310788109896
AirQuality,TS_REC_ORIGINAL,0,272,8694,10,216.76637678146363,264.24390959094467,228.40605840682983,165.9930826282501
AirQuality,PETS_SELECTED_CALIBRATED,0,272,8694,10,159.70922756195068,202.37395833152664,169.012105178833,135.66016876220704
