dataset,system,model_seed,window_index,origin_row,feature_index,trajectories,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,empirical_crps
ETTh,TS_REC_ORIGINAL,0,104,15782,0,100,3.7978888017390275,5.802272244316785,4.143469778865983,3.105995967076302
ETTh,PETS_SELECTED_CALIBRATED,0,104,15782,0,100,3.187362446508632,4.404296909462022,3.544307334510969,2.5100028374145964
AirQuality,TS_REC_ORIGINAL,0,272,8694,0,100,197.71208799362182,238.0955432625707,225.6584895515442,143.70088196353913
AirQuality,PETS_SELECTED_CALIBRATED,0,272,8694,0,100,161.69043183326724,204.4666443767574,170.9361338981628,133.4464747147083
