dataset,system,window_index,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,truth_peak_step,mean_peak_step,peak_timing_abs_error,truth_peak_magnitude,mean_peak_magnitude,peak_magnitude_abs_error,truth_trough_step,mean_trough_step,trough_timing_abs_error,truth_trough_magnitude,mean_trough_magnitude,trough_magnitude_abs_error,truth_mean_abs_curvature,ensemble_mean_abs_curvature,mean_over_truth_abs_curvature,individual_trajectory_mean_abs_curvature,individual_over_mean_abs_curvature,ensemble_mean_oversmooths_individual_trajectories,mean_ensemble_spread,coverage_50,coverage_90
ETTh,TS_REC_ORIGINAL,104,2.4000561321680514,3.5095069517066033,9.916002478429249,0.6984126984126984,0.4999999999999999,11,11,0,17.48200035095215,13.969238271713257,3.5127620792388914,0,22,22,-15.739999771118164,-17.791656913757325,2.0516571426391614,3.533951667047316,1.242856243930517,0.35169022132342725,2.9297128877740715,2.3572419594614855,True,1.8734956825369786,0.296875,0.625
ETTh,PETS_SELECTED_CALIBRATED,104,2.262933310239561,3.4723793710518875,9.095089119757938,0.7619047619047619,0.787878787878788,11,62,51,17.48200035095215,17.894739246368438,0.4127388954162896,0,0,0,-15.739999771118164,-16.46753425598147,0.7275344848633054,3.533951667047316,1.953539828918572,0.5527918921851692,3.2204435517603502,1.6485169660152024,True,1.8417393394452555,0.234375,0.625
AirQuality,TS_REC_ORIGINAL,272,70.72030464293466,95.87357815650199,280.12170479910714,0.6666666666666666,0.6857142857142857,43,42,1,1573.0,1692.567205810547,119.56720581054697,4,4,0,872.0,823.1383154296875,48.86168457031249,93.40322580645162,33.507282143869716,0.35873795422550514,125.54810182632939,3.746890042805072,True,151.7663664302682,0.15625,0.8125
AirQuality,PETS_SELECTED_CALIBRATED,272,69.76227702791688,90.15791120959737,273.4258041817759,0.6825396825396826,0.7142857142857143,43,57,14,1573.0,1596.2437243652346,23.243724365234584,4,4,0,872.0,865.1264483642574,6.873551635742615,93.40322580645162,48.87850951164038,0.5233064392543034,79.11128867482832,1.618529072699862,True,68.82173536917071,0.171875,0.390625
