dataset,sequence_length,metric,replicates,mean_paired_delta_ts_minus_pets,ci95_low,ci95_high,probability_pets_better
AirQuality,64,context_fid,2000,-0.08441263182340597,-0.1448637991487117,0.012916025557235988,0.032
AirQuality,64,correlation_score,2000,0.026294958563645682,0.005660627981026964,0.04155425362288951,1.0
AirQuality,64,discriminative_score,2000,-0.01905642276422765,-0.04443597560975615,0.0027523712737126515,0.0535
AirQuality,64,predictive_score,2000,-0.0006188016350413822,-0.0013876503070189674,0.00022084927925856558,0.078
AirQuality,128,context_fid,2000,0.0701169069343254,-0.19920529617384267,0.24842210294003517,0.7355
AirQuality,128,correlation_score,2000,0.02103972362652421,-0.004887195428212484,0.03771880676349003,0.9615
AirQuality,128,discriminative_score,2000,0.003878224932249297,-0.06489261517615176,0.08735873983739832,0.535
AirQuality,128,predictive_score,2000,0.0003534379621268775,-0.000219361971102342,0.0010095350592853733,0.8615
AirQuality,256,context_fid,2000,-0.6755932179949984,-2.5119915147893948,0.3510342232994038,0.293
AirQuality,256,correlation_score,2000,-0.012878759194910525,-0.05360318734000128,0.05390132373819743,0.245
AirQuality,256,discriminative_score,2000,-0.03113439024390243,-0.1719939024390244,0.06183197831978329,0.328
AirQuality,256,predictive_score,2000,-0.001191003903156717,-0.002707680360132373,-4.466849455802924e-05,0.018
ETTh,64,context_fid,2000,-0.4257074196072348,-0.5822123317879057,-0.27592587346518427,0.0
ETTh,64,correlation_score,2000,-0.019642488267769417,-0.03329110051194826,-0.009543603770434872,0.0
ETTh,64,discriminative_score,2000,-0.036885372628726314,-0.05226456639566399,-0.020932249322493254,0.0
ETTh,64,predictive_score,2000,-0.003310000806155453,-0.0048500363961721015,-0.0018486441651182585,0.0
ETTh,128,context_fid,2000,0.0806579429239552,-0.3828190837202849,0.9131593464849486,0.721
ETTh,128,correlation_score,2000,0.014884718550741673,0.007595807264248527,0.02501088827848434,1.0
ETTh,128,discriminative_score,2000,-0.005009634146341505,-0.02882113821138213,0.030515582655826403,0.2825
ETTh,128,predictive_score,2000,0.0021071639755051315,-0.0005845333805860945,0.005032661948027529,0.9285
ETTh,256,context_fid,2000,0.3838595415450057,-0.7900319119830844,1.1499688347252406,0.7255
ETTh,256,correlation_score,2000,0.03443788960725069,0.012226249103744822,0.0654408979291717,1.0
ETTh,256,discriminative_score,2000,-0.00174997967479671,-0.05188414634146332,0.03750914634146344,0.477
ETTh,256,predictive_score,2000,0.0021441875730307982,-0.000840871254412276,0.004987900949579648,0.9315
Energy,64,context_fid,2000,-0.19638130743768448,-0.29549188283478617,-0.10286960745132794,0.0
Energy,64,correlation_score,2000,-0.502971649412314,-0.631501745581627,-0.3697771207491559,0.0
Energy,64,discriminative_score,2000,0.057897811653116506,-0.0088123306233063,0.12135806233062313,0.954
Energy,64,predictive_score,2000,-0.0049600929826147545,-0.027291031671615652,0.014114212712770944,0.341
Energy,128,context_fid,2000,-0.6899818995335629,-0.8247514289424662,-0.5711892563594402,0.0
Energy,128,correlation_score,2000,-0.16031699681282044,-0.28185011406739535,-0.04958433886369122,0.0025
Energy,128,discriminative_score,2000,-0.012879864498644967,-0.05436653116531169,0.046235772357723526,0.2975
Energy,128,predictive_score,2000,0.012179504031236903,-0.07636287661380663,0.14814812165241567,0.618
Energy,256,context_fid,2000,-0.5094857818662476,-0.6975406619047758,-0.3473063016584193,0.0
Energy,256,correlation_score,2000,-0.5890050842483838,-0.6644352187712987,-0.4941517215967179,0.0
Energy,256,discriminative_score,2000,-0.026203712737127384,-0.05879742547425486,0.001938685636856305,0.046
Energy,256,predictive_score,2000,0.023231799783370408,-0.010428948949999427,0.06266052058263084,0.883
