family,dataset,sequence_length,model_seed,metric,value
Diffusion-TS,Energy,64,123,predictive_score,0.2575951718727689
Diffusion-TS,Energy,128,0,context_fid,0.9297995368614421
Diffusion-TS,Energy,128,0,correlation_score,1.3789272546768188
Diffusion-TS,Energy,128,0,discriminative_score,0.3939837398373984
Diffusion-TS,Energy,128,0,predictive_score,0.25304822087394613
Diffusion-TS,Energy,128,42,context_fid,0.8899872962632387
Diffusion-TS,Energy,128,42,correlation_score,1.2882439136505126
Diffusion-TS,Energy,128,42,discriminative_score,0.4416666666666666
Diffusion-TS,Energy,128,42,predictive_score,0.42774586301287243
Diffusion-TS,Energy,128,123,context_fid,0.9962948164049337
Diffusion-TS,Energy,128,123,correlation_score,1.3499326944351195
Diffusion-TS,Energy,128,123,discriminative_score,0.4090243902439024
Diffusion-TS,Energy,128,123,predictive_score,0.2553921897151061
Diffusion-TS,Energy,256,0,context_fid,1.7280724547945059
Diffusion-TS,Energy,256,0,correlation_score,1.289699339866638
Diffusion-TS,Energy,256,0,discriminative_score,0.4825609756097561
Diffusion-TS,Energy,256,0,predictive_score,0.39752316810966776
Diffusion-TS,Energy,256,42,context_fid,1.8194624538315203
Diffusion-TS,Energy,256,42,correlation_score,1.1763435840606689
Diffusion-TS,Energy,256,42,discriminative_score,0.4570731707317073
Diffusion-TS,Energy,256,42,predictive_score,0.39602374409393326
Diffusion-TS,Energy,256,123,context_fid,1.1532957650312605
Diffusion-TS,Energy,256,123,correlation_score,1.1635691404342652
Diffusion-TS,Energy,256,123,discriminative_score,0.4130487804878049
Diffusion-TS,Energy,256,123,predictive_score,0.3651297770654006
PETS-U,AirQuality,64,0,context_fid,0.37998974066664876
PETS-U,AirQuality,64,0,correlation_score,0.09630138427019119
PETS-U,AirQuality,64,0,discriminative_score,0.15182926829268295
PETS-U,AirQuality,64,0,predictive_score,0.0215352841125006
PETS-U,AirQuality,64,42,context_fid,0.7760034431061488
PETS-U,AirQuality,64,42,correlation_score,0.1217231348156929
PETS-U,AirQuality,64,42,discriminative_score,0.1895528455284553
PETS-U,AirQuality,64,42,predictive_score,0.02251277161966338
PETS-U,AirQuality,64,123,context_fid,0.5269441831294722
PETS-U,AirQuality,64,123,correlation_score,0.11600945591926574
PETS-U,AirQuality,64,123,discriminative_score,0.20727642276422764
PETS-U,AirQuality,64,123,predictive_score,0.022762530702588418
PETS-U,AirQuality,128,0,context_fid,0.495831937074354
PETS-U,AirQuality,128,0,correlation_score,0.10894898921251298
PETS-U,AirQuality,128,0,discriminative_score,0.18455284552845527
