family,base_lr,warmup_target_lr,warmup_steps,optimizer_steps,scheduler
PETS-U,1e-05,0.0001,500,18000,ReduceLROnPlateauWithWarmup
Diffusion-TS,1e-05,0.0001,500,18000,ReduceLROnPlateauWithWarmup
