metric,expected,reaggregated,abs_error,tolerance,pass
context_fid,0.90046728332494,0.90046728332494,0.0,1e-12,True
correlation_score,0.07754552265008291,0.0775455226500829,1.3877787807814457e-17,1e-12,True
discriminative_score,0.1488617886178862,0.1488617886178862,0.0,1e-12,True
predictive_score,0.11526077324377991,0.1152607732437799,1.3877787807814457e-17,1e-12,True
