dataset,system,seed,split,draws,windows,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae,spectral_log_amplitude_mae,acf_mae_lags_1_32,dominant_frequency_index_error,cross_correlation_phase_lag_mae
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,2.27236270904541,3.977987289428711,2.4781718254089355,4.195446491241455,1.9060320854187007,15.471381242560154,8.114161491394043,0.1785328745852122,1.255351886484659,8.277666263413655,0.3185051157151365,2.271061072078699,15.919066607626672,0.3605462435122947,2.609630800603259,27.896199908508564,0.3803603335318642,2.7789156648655395,51.54408750426564,1.0828499794006348,0.6515301465988159,0.2722105176852251,0.4780138581638731,0.9659260511398317,1.273238182067871,4.976082801818848,0.5739162847986127,0.8799140955814988,0.7516661286354065,0.4670096798536957,0.2668240722165025,0.9982983068152812,20.27720581979069
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,2.41772198677063,4.174253940582275,2.573837280273437,4.282767295837402,2.0526078939437866,16.0740715631345,8.907194137573242,0.1556557368331489,1.1580595683090869,8.861578792825004,0.2759627860971667,2.070416866821366,17.584088675491994,0.313806847187952,2.3745359662970498,31.366516126839706,0.3323340317365779,2.5265955160348894,58.65332238444663,0.9829056262969972,0.6230250597000122,0.2354685748131292,0.5180601495362886,0.9293190240859984,1.2260984182357788,4.7623796463012695,0.5766700565475347,0.8723698235497,0.7337274551391602,0.4488710912090748,0.2734823457312874,0.9366970135284608,19.91134178507615
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,2.2458529472351074,3.922077655792236,2.451845645904541,4.197047710418701,1.8659613728523252,14.073967713412465,7.89928388595581,0.1779705181655747,1.306503591819396,8.102879916989872,0.3154088317876287,2.3277172401327024,15.470677850770729,0.3569859823023908,2.668121789571252,26.968145292344257,0.3770008189398451,2.8383240642905285,49.64642866648098,1.1064941883087158,0.6363062262535095,0.2821193982925385,0.4806584622011401,0.9730787873268129,1.296542048454285,5.058899879455566,0.5726805314144717,0.8823796920311361,0.7484019994735718,0.4549345937178367,0.265321064448735,0.9815366289458012,20.17961371564707
ETTh,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1679,2.281822204589844,4.105774879455566,2.4251914024353027,4.180873394012451,1.951236516237259,14.897417603972464,8.508695602416992,0.1648488683740321,1.0440261430177613,8.41295620626977,0.2944753467199864,1.8817326831081236,16.824258520668362,0.3338190249298051,2.160968196482467,30.151263536898288,0.352561580022122,2.3005859531696395,56.53488458062109,0.8927381634712219,0.5933965444564819,0.2174347570633489,0.5010737949885136,0.9878911972045898,1.2821323871612549,4.918920516967773,0.5684722171576592,0.8988599012456887,0.7519175410270691,0.4495532890659478,0.270027379089858,0.980430528375734,20.23160044244023
ETTh,PETS_SHTRAIN_SH64_REC,42,DEV_VAL,5,1679,2.2604963779449463,4.0674662590026855,2.449502944946289,4.203653335571289,1.894725680351257,14.56761580221473,8.084160804748535,0.2013953884114694,1.2323891194898773,8.23442437635229,0.3508638751808049,2.2036533419716,15.864482081429202,0.3949483642474262,2.527408082784373,27.815055186172398,0.4155149217221135,2.6892854531907595,51.41418508722957,1.0452686548233032,0.698776364326477,0.2569827475543941,0.4468193626095465,0.9911742210388184,1.287553787231445,4.950750350952148,0.5693230637500186,0.8947811560215877,0.7565817832946777,0.447578389368558,0.2664233772014563,0.9798349357610824,20.07938398706713
ETTh,PETS_SHTRAIN_SH64_REC,123,DEV_VAL,5,1679,2.3258419036865234,4.1050543785095215,2.4636521339416504,4.187113285064697,1.9855125546455383,15.110126151096024,8.665009498596191,0.1569293478260869,1.0540765993467005,8.565734129545447,0.281531842933719,1.898431156388666,17.138849792949657,0.3205684187016081,2.179882675356243,30.71883952112292,0.3391447928188547,2.3206084348400315,57.60669167126102,0.8997862339019775,0.5859537124633789,0.2191898452338347,0.5129563994299329,0.9869155883789062,1.301659345626831,5.046990394592285,0.5717108364092113,0.89100895277802,0.7579895853996277,0.4432577304074563,0.2617407127381486,0.8818174083212796,20.170935080405
ETTh,PETS_SHTRAIN_CG64_REC,0,DEV_VAL,5,1679,2.266995429992676,4.164626121520996,2.418574333190918,4.2886962890625,1.950939804315567,14.935694076060276,8.519458770751953,0.157644590742789,1.0268707320471515,8.399414366371348,0.2817538607164128,1.856317809562609,16.851018371606326,0.3194702948183442,2.1328001687359275,30.28280623352262,0.3373779566919084,2.2710413483225875,56.88985532289615,0.8885470032691956,0.5264140367507935,0.213355767682858,0.5134383242576364,0.9830988645553588,1.2556337118148804,4.96437931060791,0.566184385209315,0.8889257692069628,0.7545259594917297,0.4659195726577044,0.2738768155701683,1.0250999744746023,20.591083127712075
ETTh,PETS_SHTRAIN_CG64_REC,42,DEV_VAL,5,1679,2.224156141281128,3.956384658813477,2.397606134414673,4.123030185699463,1.866568148136139,14.707363037851504,8.004260063171387,0.1848065387560623,1.1728494372484644,8.088963732307954,0.3252653577809921,2.108678946213555,15.751158934683748,0.3675005849570322,2.420622115907783,27.768096160954872,0.3872840976771888,2.5765937007548985,51.50479196219796,1.0041425228118896,0.6266259551048279,0.2538030574390694,0.4712858552071812,0.9943762421607972,1.2851057052612305,4.93580961227417,0.5685464974157223,0.8841279288087366,0.7667585015296936,0.4497845948041027,0.2719816745643924,1.041010805751723,20.271420062962648
ETTh,PETS_SHTRAIN_CG64_REC,123,DEV_VAL,5,1679,2.316208600997925,4.139488697052002,2.447305917739868,4.207610607147217,1.9906488358974457,15.388196489089886,8.735177993774414,0.1525501467710371,1.0075796807241506,8.558467786805483,0.2727375457330043,1.8132209545743647,17.314741122813558,0.310177454692419,2.081768045849489,31.22360363523243,0.3283137815876797,2.2160415914870524,58.77937766953622,0.8606891632080078,0.5552667379379272,0.2079216121114089,0.521555267803965,0.9806979298591614,1.2863168716430664,5.112240314483643,0.5696053287306584,0.8860804884307594,0.7787378430366516,0.4558078076068497,0.2621892644455475,0.8985790861907598,20.330553901131623
Energy,TS_REC_ORIGINAL,0,DEV_VAL,5,1911,6.509293079376221,19.96246337890625,6.680524349212647,18.56784439086914,5.952949941158295,42.83320495637745,27.45954132080078,0.048683140838753,1.6300021153162356,24.772937728591344,0.0817503340621963,2.8914016873939445,55.45688634354461,0.0926534934028556,3.3118682115057525,105.39639963990176,0.0981608474433729,3.5221014735616585,204.8199014346533,1.368809461593628,0.176332414150238,0.0685691658194854,0.7071880460632055,2.4612069129943848,3.919155359268189,36.77785110473633,0.4029817229525684,0.5356582696045465,3.3667163848876958,0.379732049749047,0.4372353453077426,1.705801001719369,18.590883606189728
