dataset,system,seed,split,draws,windows,scope,horizon,ensemble_mean_mae,ensemble_mean_rmse,expected_sample_mae,expected_sample_rmse,empirical_crps,normalized_energy_score,weighted_interval_score,picp_50,mpiw_50,interval_score_50,picp_80,mpiw_80,interval_score_80,picp_90,mpiw_90,interval_score_90,picp_95,mpiw_95,interval_score_95,mean_ensemble_std,median_ensemble_std,spread_skill_ratio,mean_absolute_coverage_error,slope_mae,curvature_mae,high_curvature_mae,derivative_sign_agreement,turning_point_f1_pm2,boundary_jump_mae
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,cumulative,1-16,1.844417691230774,3.434309244155884,2.024708032608032,3.368831157684326,1.5287814140319824,6.457554124594062,6.449490070343018,0.1945567089253807,1.078074095413915,6.659842171238372,0.3449651152897132,1.967531923986788,12.631831068132657,0.3892250914660087,2.264017866811123,21.904645867005502,0.4099166170339487,2.41226083822329,40.180901015920064,0.9372299313545228,0.5661521553993225,0.2729020203842719,0.4528341168212371,0.9345502257347108,1.2656623125076294,4.987041473388672,0.5774752545449389,0.854346220059793,0.7516661286354065
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,cumulative,1-32,2.0612661838531494,3.7157022953033447,2.249344110488892,3.813912868499756,1.7182424068450928,10.1707842930902,7.289087295532227,0.1848756700416914,1.162297491957374,7.471213059898335,0.3292350889134689,2.107861855718596,14.289802067549385,0.3722746320088488,2.423049976965752,24.93174159420789,0.3924848974729856,2.5806440375893307,45.93084903374001,1.0034675598144531,0.609362006187439,0.2700613450875325,0.4677824278907513,0.946782112121582,1.262916922569275,4.963861465454102,0.5762536950071773,0.869338534512857,0.7516661286354065
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,cumulative,1-64,2.27236270904541,3.977987289428711,2.4781718254089355,4.195446491241455,1.9060320854187007,15.471381242560154,8.114161491394043,0.1785328745852122,1.255351886484659,8.277666263413655,0.3185051157151365,2.271061072078699,15.919066607626672,0.3605462435122947,2.609630800603259,27.896199908508564,0.3803603335318642,2.7789156648655395,51.54408750426564,1.0828499794006348,0.6515301465988159,0.2722105176852251,0.4780138581638731,0.9659260511398317,1.273238182067871,4.976082801818848,0.5739162847986127,0.8799140955814988,0.7516661286354065
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,disjoint,1-16,1.844417691230774,3.434309244155884,2.024708032608032,3.368831157684326,1.5287814140319824,6.457554124594062,6.449490070343018,0.1945567089253807,1.078074095413915,6.659842171238372,0.3449651152897132,1.967531923986788,12.631831068132657,0.3892250914660087,2.264017866811123,21.904645867005502,0.4099166170339487,2.41226083822329,40.180901015920064,0.9372299313545228,0.5661521553993225,0.2729020203842719,0.4528341168212371,0.9345502257347108,1.2656623125076294,4.987041473388672,0.5774752545449389,0.854346220059793,0.7516661286354065
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,disjoint,17-32,2.2781147956848145,3.977236747741699,2.4739818572998047,3.955071449279785,1.907704472541809,7.633650258821668,8.128684043884277,0.1751946311580022,1.2465208885008334,8.282583948558297,0.3135050625372245,2.2481917874504047,15.947773066966102,0.3553241725516889,2.5820820871203827,27.95883732141028,0.3750531779120225,2.7490272369553708,51.68079705155993,1.0697050094604492,0.6548210382461548,0.2689568354380298,0.4827307389602654,0.957766890525818,1.259175181388855,4.940449237823486,0.5751269179500269,0.8482116672248622,0.7516661286354065
ETTh,TS_REC_ORIGINAL,0,DEV_VAL,5,1679,disjoint,33-64,2.4834601879119877,4.2240166664123535,2.706997394561768,4.3868842124938965,2.093818426132202,11.5125769416735,8.939236640930176,0.172190079128733,1.348406281011943,9.084119466928977,0.3077751425168042,2.4342602884388,17.548331147703962,0.3488178550157406,2.7962116242407675,30.860658222809217,0.3682357695907428,2.9771872921417497,57.1573259747913,1.1622332334518433,0.6969133019447327,0.275148827582392,0.4882452884369948,0.9851661920547484,1.2841808795928955,4.9864654541015625,0.5715767834156276,0.8740040783927865,0.7516661286354065
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,cumulative,1-16,1.8526341915130613,3.5292930603027344,1.9990482330322263,3.373281478881836,1.556477516889572,6.293515036347327,6.670122146606445,0.1769973623755636,0.9703640708276072,6.750603221244717,0.3160150599846847,1.7566764235048258,13.11697436271807,0.3581106951416659,2.018780541054697,23.11816925654654,0.3779620096996511,2.1498325998296326,42.88609524779935,0.8351150751113892,0.5018864870071411,0.2366238962994348,0.4802287181996086,0.8991726636886597,1.2151490449905396,4.771911144256592,0.5862446467568564,0.8460734863839232,0.7337274551391602
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,cumulative,1-32,2.154531717300415,3.9051361083984375,2.3077938556671143,3.917807340621948,1.8186379969120023,10.240700826377292,7.835174560546875,0.1669520547945205,1.0827590012357216,7.878885856655944,0.2971634901727218,1.942611024071902,15.421153794777863,0.3377276014634561,2.2292283649961586,27.314378753832237,0.3572758019229133,2.372537035458287,50.84883158338657,0.9226474761962892,0.5727417469024658,0.2362651263836953,0.4977202629115971,0.9134143590927124,1.2150044441223145,4.749402046203613,0.5811995839085696,0.8610083414494205,0.7337274551391602
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,cumulative,1-64,2.41772198677063,4.174253940582275,2.573837280273437,4.282767295837402,2.0526078939437866,16.0740715631345,8.907194137573242,0.1556557368331489,1.1580595683090869,8.861578792825004,0.2759627860971667,2.070416866821366,17.584088675491994,0.313806847187952,2.3745359662970498,31.366516126839706,0.3323340317365779,2.5265955160348894,58.65332238444663,0.9829056262969972,0.6230250597000122,0.2354685748131292,0.5180601495362886,0.9293190240859984,1.2260984182357788,4.7623796463012695,0.5766700565475347,0.8723698235497,0.7337274551391602
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,disjoint,1-16,1.8526341915130613,3.5292930603027344,1.9990482330322263,3.373281478881836,1.556477516889572,6.293515036347327,6.670122146606445,0.1769973623755636,0.9703640708276072,6.750603221244717,0.3160150599846847,1.7566764235048258,13.11697436271807,0.3581106951416659,2.018780541054697,23.11816925654654,0.3779620096996511,2.1498325998296326,42.88609524779935,0.8351150751113892,0.5018864870071411,0.2366238962994348,0.4802287181996086,0.8991726636886597,1.2151490449905396,4.771911144256592,0.5862446467568564,0.8460734863839232,0.7337274551391602
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,disjoint,17-32,2.456429243087769,4.247854232788086,2.61653995513916,4.134202480316162,2.0807984471321106,7.882343378085065,9.000228881835938,0.1569067472134774,1.1951539316438358,9.00716849206717,0.2783119203607589,2.128545624638978,17.725333226837662,0.3173445077852463,2.4396761889376206,31.510588251117937,0.3365895941461754,2.595241471086942,58.81156791897381,1.010179877281189,0.6517173051834106,0.2378094496472765,0.5152118076235854,0.9272046685218812,1.21588933467865,4.7367048263549805,0.5758699906406874,0.8415964083446206,0.7337274551391602
ETTh,TS_REC_ORIGINAL,42,DEV_VAL,5,1679,disjoint,33-64,2.680912494659424,4.427042484283447,2.839884042739868,4.4668474197387695,2.286580979824066,12.208763840573123,9.979207038879396,0.1443594188717774,1.2333601353824513,9.844271728994062,0.2547620820216115,2.198222709570829,19.74702355620613,0.2898860929124479,2.519843567597939,35.41865349984715,0.3073922615502425,2.6806539966114937,66.45781318550665,1.043163537979126,0.6772603988647461,0.2356344086785899,0.5384000361609802,0.9450268149375916,1.2380908727645874,4.773504257202148,0.5722492266902341,0.8684011988746894,0.7337274551391602
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,cumulative,1-16,1.818341612815857,3.330172538757324,2.0070230960845947,3.3746254444122314,1.4883825182914734,5.804895566876226,6.214585304260254,0.1943227261124819,1.1502899927533374,6.490961824843764,0.3421998638645452,2.059931197401525,12.125419610168628,0.3864279332936272,2.363144932257193,20.826413480949043,0.4074757508721177,2.514751799685027,37.94224550092547,0.978398621082306,0.5642492771148682,0.2937981770300111,0.4548934314643069,0.9451723098754884,1.2917993068695068,5.06696891784668,0.5767832326498199,0.8585280752802148,0.7484019994735718
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,cumulative,1-32,2.0260465145111084,3.6461682319641113,2.219771385192871,3.8264358043670654,1.6715954542160034,9.141411486505184,7.037717819213867,0.1882179018123032,1.223920658104491,7.271425661637676,0.330793201735727,2.178051540961726,13.7642158285025,0.3732637411724666,2.496095168530424,23.848433118708865,0.3936920360758955,2.655116982314772,43.71562390253359,1.034437656402588,0.6017292141914368,0.2837054108842802,0.4660082798009019,0.9525567889213562,1.2833530902862549,5.023460865020752,0.5762564396736043,0.8744281378488644,0.7484019994735718
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,cumulative,1-64,2.2458529472351074,3.922077655792236,2.451845645904541,4.197047710418701,1.8659613728523252,14.073967713412465,7.89928388595581,0.1779705181655747,1.306503591819396,8.102879916989872,0.3154088317876287,2.3277172401327024,15.470677850770729,0.3569859823023908,2.668121789571252,26.968145292344257,0.3770008189398451,2.8383240642905285,49.64642866648098,1.1064941883087158,0.6363062262535095,0.2821193982925385,0.4806584622011401,0.9730787873268129,1.296542048454285,5.058899879455566,0.5726805314144717,0.8823796920311361,0.7484019994735718
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,disjoint,1-16,1.818341612815857,3.330172538757324,2.0070230960845947,3.3746254444122314,1.4883825182914734,5.804895566876226,6.214585304260254,0.1943227261124819,1.1502899927533374,6.490961824843764,0.3421998638645452,2.059931197401525,12.125419610168628,0.3864279332936272,2.363144932257193,20.826413480949043,0.4074757508721177,2.514751799685027,37.94224550092547,0.978398621082306,0.5642492771148682,0.2937981770300111,0.4548934314643069,0.9451723098754884,1.2917993068695068,5.06696891784668,0.5767832326498199,0.8585280752802148,0.7484019994735718
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,disjoint,17-32,2.2337517738342285,3.9368820190429688,2.4325194358825684,3.979583740234375,1.854808270931244,6.871632135120354,7.860850811004639,0.1821130775121245,1.2975513234556448,8.05188949843159,0.3193865396069089,2.296171884521927,15.403012046836356,0.360099549051306,2.629045404803654,26.870452756468687,0.3799083212796733,2.7954821649445174,49.4890023041417,1.0904768705368042,0.6413268446922302,0.2769899797002025,0.4771231281374968,0.9595996737480164,1.274839162826538,4.981038093566895,0.5753708273065034,0.8531888781386743,0.7484019994735718
ETTh,TS_REC_ORIGINAL,123,DEV_VAL,5,1679,disjoint,33-64,2.465659618377685,4.179813385009766,2.683920860290528,4.3973541259765625,2.060327708721161,10.537838348202651,8.760851860046387,0.1677231345188462,1.3890865255343,8.934334172342066,0.3000244618395303,2.477382939303679,17.17713987303895,0.3407082234323151,2.8401484106120813,30.08785746597963,0.3603096018037948,3.0215311462662835,55.57723343042837,1.178550124168396,0.6761304140090942,0.2819623786064416,0.4953086446013783,0.9939605593681335,1.3106869459152222,5.09300422668457,0.5689885629749988,0.8740308939374379,0.7484019994735718
ETTh,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1679,cumulative,1-16,1.922746419906616,3.4726996421813965,2.040948867797852,3.3038084506988525,1.6437347829341888,6.567891292238234,7.182702541351318,0.160591976516634,0.8755410907900395,7.067315559537496,0.28839977027142,1.5771065185984123,14.225658880792794,0.3266825491363907,1.8109616612250312,25.564623408699354,0.344874712839275,1.927889232538341,48.004262483356605,0.7459322214126587,0.5106636881828308,0.2147989455673445,0.5073627478090701,0.9450627565383912,1.2591123580932615,4.70436954498291,0.5869990640687484,0.8807980870236043,0.7519175410270691
ETTh,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1679,cumulative,1-32,2.0673210620880127,3.7401859760284415,2.193854570388794,3.700570821762085,1.7693840563297272,9.818488199255444,7.735965251922607,0.1626340083382966,0.936196191640754,7.60635768989071,0.2906039947247511,1.685383880926997,15.322241107280584,0.3295435208031992,1.9351131107162785,27.55313292808308,0.3479776440057857,2.0599777256109184,51.76575860353572,0.7973769307136536,0.5478193759918213,0.2131917866716234,0.5048102080319918,0.97292160987854,1.2803438901901243,4.819666862487793,0.5795308267209744,0.8965903639616318,0.7519175410270691
ETTh,PETS_SHTRAIN_SH64_REC,0,DEV_VAL,5,1679,cumulative,1-64,2.281822204589844,4.105774879455566,2.4251914024353027,4.180873394012451,1.951236516237259,14.897417603972464,8.508695602416992,0.1648488683740321,1.0440261430177613,8.41295620626977,0.2944753467199864,1.8817326831081236,16.824258520668362,0.3338190249298051,2.160968196482467,30.151263536898288,0.352561580022122,2.3005859531696395,56.53488458062109,0.8927381634712219,0.5933965444564819,0.2174347570633489,0.5010737949885136,0.9878911972045898,1.2821323871612549,4.918920516967773,0.5684722171576592,0.8988599012456887,0.7519175410270691
