placement,placement_key,model_seed,context_fid,correlational_score,discriminative_score,predictive_score
E + LastBeforeD,e_last_before_d,0,0.8477904938435946,0.06927350759506226,0.14138211382113824,0.11485335432095478
E + LastBeforeD,e_last_before_d,42,0.9184333130558011,0.08328456580638885,0.14020325203252035,0.11551991921369335
E + LastBeforeD,e_last_before_d,123,0.9351780430754241,0.0800784945487976,0.16500000000000004,0.11540904619669164
E + MidD,e_mid_d,0,0.7065974525146081,0.07932882308959961,0.12869918699186994,0.11538283177654496
E + MidD,e_mid_d,42,0.7393829341899358,0.09164346158504486,0.1305691056910569,0.11720468637492257
E + MidD,e_mid_d,123,0.850303832399864,0.09760101437568665,0.12565040650406506,0.11592796174688072
E-only,e_only,0,0.7725141245170233,0.08939125835895538,0.14727642276422764,0.1152577067993055
E-only,e_only,42,0.7664227269182599,0.10699382573366165,0.14626016260162605,0.11426366183480544
E-only,e_only,123,0.7266194755381334,0.09224516451358795,0.1631707317073171,0.11701259050808706
