system,model_seed,reverse_region,timestep,call_index,site,operation,anchor_weight_mass,complement_weight_mass,anchor_norm,complement_residual_norm,fraction_projected,near_zero_skip_fraction,pre_projection_cosine,post_projection_cosine,removed_opposing_norm_ratio,removed_opposing_energy_ratio,retained_complement_norm,full_to_aa_delta_norm,aa_to_fa_delta_norm,effective_branch_count,maximum_weight,top1_top2_margin,dominant_period,active_period_count,decomposition_identity_max_abs_error,maximum_post_projection_violation
PETS_U_BF_EFULL_DFULL,0,high_noise,490,0,encoder,FULL,0.5545741841197014,0.4454258156474679,4.472598551059491,1.0613817842586286,0.0,0.0,-0.4331690099678775,-0.4331690099678775,0.0,0.0,1.0613817842586286,0.0,1.0613817842586286,3.0559042021632195,0.5298545975238085,0.3339890851639211,30.59375,7.0,5.960464477539064e-08,16.967578887939453
PETS_U_BF_EFULL_DFULL,0,high_noise,490,0,decoder,FULL,0.9562544636428356,0.0437455346327624,1.4277173090376891,0.0384573979788029,0.0,0.0,-0.5808305782051661,-0.5808305782051661,0.0,0.0,0.0384573979788029,0.0,0.0384573979788029,1.098523087799549,0.9562544636428356,0.9298636429011822,25.0,4.0,5.122274160385132e-09,0.4808708429336548
PETS_U_BF_EAA_DFULL,0,high_noise,490,0,encoder,ANTI_ANCHOR,0.5545741841197014,0.4454258156474679,4.472598551059491,1.0613817842586286,0.844482421875,0.0,-0.4331690099678775,0.0429682522516642,0.4761372548356815,0.3170823058366904,0.838987729684959,0.5229903161481309,0.838987729684959,3.0559042021632195,0.5298545975238085,0.3339890851639211,30.59375,7.0,5.960464477539064e-08,1.1920928955078125e-07
PETS_U_BF_EAA_DFULL,0,high_noise,490,0,decoder,FULL,0.9574615322053432,0.0425384754998958,1.436587874632096,0.0373391822612916,0.0,0.0,-0.5785992780265872,-0.5785992780265872,0.0,0.0,0.0373391822612916,0.0,0.0373391822612916,1.0956934243440628,0.9574615322053432,0.9318548664450644,25.0,4.0,4.6566128730773926e-09,0.4822618365287781
PETS_U_BF_EFULL_DAA,0,high_noise,490,0,encoder,FULL,0.5545741841197014,0.4454258156474679,4.472598551059491,1.0613817842586286,0.0,0.0,-0.4331690099678775,-0.4331690099678775,0.0,0.0,1.0613817842586286,0.0,1.0613817842586286,3.0559042021632195,0.5298545975238085,0.3339890851639211,30.59375,7.0,5.960464477539064e-08,16.967578887939453
PETS_U_BF_EFULL_DAA,0,high_noise,490,0,decoder,ANTI_ANCHOR,0.9562544636428356,0.0437455346327624,1.4277173090376891,0.0384573979788029,0.99560546875,0.0,-0.5808305782051661,0.000300692500426,0.5811311025850046,0.366945322804117,0.0301656395395895,0.0224723264246158,0.0301656395395895,1.098523087799549,0.9562544636428356,0.9298636429011822,25.0,4.0,5.122274160385132e-09,3.725290298461914e-09
PETS_U_BF_EAA_DAA,0,high_noise,490,0,encoder,ANTI_ANCHOR,0.5545741841197014,0.4454258156474679,4.472598551059491,1.0613817842586286,0.844482421875,0.0,-0.4331690099678775,0.0429682522516642,0.4761372548356815,0.3170823058366904,0.838987729684959,0.5229903161481309,0.838987729684959,3.0559042021632195,0.5298545975238085,0.3339890851639211,30.59375,7.0,5.960464477539064e-08,1.1920928955078125e-07
PETS_U_BF_EAA_DAA,0,high_noise,490,0,decoder,ANTI_ANCHOR,0.9574615322053432,0.0425384754998958,1.436587874632096,0.0373391822612916,0.99560546875,0.0,-0.5785992780265872,0.0003150099210862,0.5789141130685493,0.3647372751839617,0.029393819993075,0.0216526030557897,0.029393819993075,1.0956934243440628,0.9574615322053432,0.9318548664450644,25.0,4.0,4.6566128730773926e-09,3.725290298461914e-09
PETS_U_BF_EFULL_DFULL,0,middle,250,0,encoder,FULL,0.5706952018663287,0.4293047913815826,7.682003851456102,1.3075371405320766,0.0,0.0,-0.5605323371715301,-0.5605323371715301,0.0,0.0,1.3075371405320766,0.0,1.3075371405320766,2.852416690438986,0.5660284487530589,0.3983802977018058,24.71875,7.0,8.195638656616212e-08,40.47344207763672
PETS_U_BF_EFULL_DFULL,0,middle,250,0,decoder,FULL,0.98177532851696,0.0182246720214607,1.89197155306465,0.0192021351189168,0.0,0.0,-0.6275166115755582,-0.6275166115755582,0.0,0.0,0.0192021351189168,0.0,0.0192021351189168,1.0377365425229073,0.98177532851696,0.9712105244398116,25.0,4.0,1.164153218269348e-09,0.2314921617507934
