system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error,first_difference_distribution_error,second_difference_distribution_error,lag1_autocorrelation_error,lag2_autocorrelation_error
PETS_U_BF_EFULL_DFULL,0,100000,0.0014208838980121,0.0162052476528267,0.017385670103348,0.007629361339281,0.0125226399348621,0.0664001603245465,0.0081920853838934,0.0131835821516863,0.0168942622483166,0.0205648587399613
PETS_U_BF_EFULL_DFULL,0,100001,0.001409305486903,0.0169847774825215,0.0174515517584983,0.007639032242739,0.0125283885521371,0.0668596540178572,0.0082033390760659,0.0133755704453001,0.017726260541261,0.0224759369689425
PETS_U_BF_EFULL_DFULL,0,100002,0.0014179364994598,0.0171635513973711,0.0172853333399166,0.0077224980941192,0.0127374250245647,0.0679724038052721,0.0083319387643427,0.0137608093662814,0.0177624172712767,0.0219713080681449
PETS_U_BF_EFULL_DFULL,0,100003,0.0014351097933097,0.0170642576434425,0.0165997385943376,0.0077492075501689,0.0127156842335671,0.0679760022498583,0.0083678209823626,0.0135480968610092,0.017846964147612,0.0223537507541941
PETS_U_BF_EFULL_DFULL,0,100004,0.0014374167954885,0.0181128523371851,0.0174022838700964,0.007767878331231,0.0127830824848851,0.0684562562003968,0.0083423755864699,0.0136733646196025,0.017777328893451,0.0219211261292657
PETS_U_BF_EFULL_DFULL,1,100000,0.0013645408486313,0.0156554309114017,0.0155063643588606,0.0073125704567506,0.0120934219556922,0.0656336916276927,0.0079499329011757,0.0130508743288157,0.0173376621883,0.0209967669449599
PETS_U_BF_EFULL_DFULL,1,100001,0.0013555028748356,0.0134512211061093,0.0151904986894967,0.0073608096215323,0.0121808172776598,0.0660140195401077,0.0080194856410438,0.0131558279916123,0.0184409960586802,0.0234745662901418
PETS_U_BF_EFULL_DFULL,1,100002,0.0013609826157657,0.0141960257984434,0.0146363307870143,0.0074090853858949,0.0123195218418575,0.0669642857142857,0.0080490687177493,0.0133400985787024,0.0183142586176438,0.0227083006788062
PETS_U_BF_EFULL_DFULL,1,100003,0.0013766668287086,0.0150543599054152,0.0146638617654184,0.0074437004993239,0.0122829721350404,0.0666827766262755,0.008068672420202,0.0132611104521182,0.0181983880044295,0.0228343388583925
PETS_U_BF_EFULL_DFULL,1,100004,0.0013850537980234,0.0184660012994228,0.0150878258558631,0.0074520860600596,0.0123209108773874,0.066755575928288,0.0081011388205981,0.0133617873480031,0.0182488064000038,0.0227842291734012
PETS_U_BF_EFULL_DFULL,2,100000,0.0014756714820763,0.0149296260579287,0.0161734965668658,0.0078239676543024,0.0131888275244436,0.0731104290674603,0.0083105353169686,0.014144530024145,0.0181123058621975,0.0215310732057471
PETS_U_BF_EFULL_DFULL,2,100001,0.0014699303147861,0.0155791030250889,0.0169820965878747,0.0078920745051915,0.013288251446076,0.0735978799071712,0.008449425349226,0.0142732282063284,0.0187614144782874,0.0229381244736399
PETS_U_BF_EFULL_DFULL,2,100002,0.0014594294772491,0.0155423204000522,0.0160749927797997,0.0078775020392295,0.0133346070829781,0.0744257989654195,0.0084600280681987,0.0142494317265776,0.018777797485495,0.0228107692246802
PETS_U_BF_EFULL_DFULL,2,100003,0.0014755590170294,0.0143112455969116,0.0156785670502668,0.0078525808378416,0.0132386764969285,0.0745791480654762,0.0083851185645256,0.0140780563071652,0.0185482201070005,0.0225273214224281
PETS_U_BF_EFULL_DFULL,2,100004,0.0015015330241778,0.0181696631375016,0.0166105839499755,0.0080288602935006,0.0134926176749406,0.0743410971159297,0.0085677161971469,0.0144079449969333,0.0188121070383173,0.0228224617779668
PETS_U_BF_EFULL_DFULL,42,100000,0.0014981640509628,0.0122552984579845,0.0177552277161792,0.0078582284437287,0.0133677075945187,0.0767836105796485,0.0084626225509367,0.0141921490944706,0.0184296964082895,0.0221527719141697
PETS_U_BF_EFULL_DFULL,42,100001,0.0015005910895148,0.0119581913588804,0.0183724511604445,0.0079304640920353,0.0134699519254391,0.0773114747200964,0.0085232442762706,0.01434185338979,0.0193015401213592,0.0237933746736969
PETS_U_BF_EFULL_DFULL,42,100002,0.0014852780624899,0.0112403047802953,0.0177167675078406,0.0079269417289068,0.0135626747302585,0.0781045165462018,0.0085434783843311,0.0144091360976288,0.0192571710638475,0.0232962211479392
PETS_U_BF_EFULL_DFULL,42,100003,0.0015009102773923,0.0145045013988309,0.0171908472451576,0.0079677122333027,0.0135706972204934,0.078158770018424,0.0085267729491858,0.0143480178313357,0.0191753082044742,0.0233353699306555
PETS_U_BF_EFULL_DFULL,42,100004,0.0015149971113511,0.0120455878253517,0.0178403599312934,0.0079896821334762,0.0136387981962131,0.0785615190086451,0.0086115959929776,0.0145522404683755,0.0193564304133512,0.0235109940378704
PETS_U_BF_EFULL_DFULL,123,100000,0.0014586736168538,0.0146165084578941,0.0162275720782619,0.0077643566701219,0.0129244415563905,0.0656768729627267,0.0083096239331004,0.0137845778827602,0.0186031674311109,0.022418564225286
PETS_U_BF_EFULL_DFULL,123,100001,0.0014496426699284,0.013788081511748,0.0167256726101963,0.0077637578049158,0.01286700336072,0.0656898827239229,0.0083176440831485,0.0137907827642116,0.0188340527684508,0.0233640777720058
PETS_U_BF_EFULL_DFULL,123,100002,0.001457674827604,0.0128646656667406,0.0162746532325977,0.0078427101923808,0.013034672919544,0.0662717235331633,0.0084113783472246,0.0139385991203082,0.0190202638532845,0.0232565126147057
PETS_U_BF_EFULL_DFULL,123,100003,0.0014730148723094,0.0130157736498539,0.0159386655420148,0.007863533035463,0.0129759988904452,0.0656887755102041,0.0084302374202828,0.0138124447740636,0.018961962065461,0.0237010900280981
PETS_U_BF_EFULL_DFULL,123,100004,0.0014805996446267,0.0190703677908095,0.0166333015488771,0.0079063885607636,0.013094735743398,0.0668192407171202,0.0084174021001343,0.0139521762805504,0.0191761368199248,0.0236236457561906
PETS_U_BF_EAA_DFULL,0,100000,0.0014418401849123,0.0169761381409693,0.0188897729238275,0.0077583592170575,0.0124535644028689,0.0634665975765306,0.0082479221843756,0.0130204995776211,0.015843837866014,0.0197987454451963
PETS_U_BF_EAA_DFULL,0,100001,0.0014661378718048,0.0157344684482056,0.0195038051888297,0.0079752290824622,0.0127709608394989,0.063543272126559,0.0085674456481809,0.0136820811315492,0.0166393133273483,0.0207720088116871
PETS_U_BF_EAA_DFULL,0,100002,0.0014595198191936,0.0150554542655432,0.0188229504828915,0.0079184152817905,0.0126521238017409,0.0632105544040533,0.0084960514093255,0.0134446591454726,0.0162637579851777,0.0205782529116904
PETS_U_BF_EAA_DFULL,0,100003,0.001441784615148,0.0169692797931048,0.0190491207266909,0.0078744645268958,0.0125523305383771,0.0630776887577948,0.0084564229706962,0.0133976792079823,0.0156924195601349,0.0196112808969957
PETS_U_BF_EAA_DFULL,0,100004,0.0014675315512987,0.0181452595990336,0.0188943292342347,0.0079145259517047,0.0127331693236299,0.0643927818523243,0.0084950423226966,0.0135994199930311,0.0171021276078108,0.022050838047544
PETS_U_BF_EAA_DFULL,1,100000,0.0013564998780824,0.013413807731616,0.0162633037691844,0.0069919781710375,0.0114365237303126,0.0624460233312075,0.0076630841522783,0.0123652819864876,0.0160604588978367,0.0199686230836574
PETS_U_BF_EAA_DFULL,1,100001,0.0013743151621519,0.0132212027644809,0.016424055525915,0.0071874026607651,0.0116901742330838,0.0622240269805839,0.0078458009488456,0.0125284861471805,0.016870603309578,0.0213192492615132
PETS_U_BF_EAA_DFULL,1,100002,0.0013663921347398,0.0129147432067567,0.0158963695002976,0.0071361996170527,0.0116204020665582,0.0622627794607426,0.0077632531228658,0.0125525619267941,0.0166319666603335,0.0208497508929781
PETS_U_BF_EAA_DFULL,1,100003,0.0013633278710652,0.0135135003587396,0.0163726884273509,0.0071636355404112,0.011589681563914,0.0616358196924603,0.0078036226003796,0.0125503335846708,0.0161807373141427,0.0203870936914923
PETS_U_BF_EAA_DFULL,1,100004,0.0013797308449033,0.0158899281023604,0.0165891420111684,0.0071376538113029,0.0116553691112823,0.0626511346726191,0.0077995515882552,0.0124989344212975,0.01663844523014,0.0209921121318342
PETS_U_BF_EAA_DFULL,2,100000,0.0014805071700366,0.0138385488612583,0.0160060640096504,0.0078995373193822,0.0132366716581274,0.0727702376523526,0.0084613972100523,0.0141146449944772,0.0186725497936243,0.0231511791564087
PETS_U_BF_EAA_DFULL,2,100001,0.0015104883415379,0.0158652363183313,0.0166707075280735,0.0081123640131956,0.0135215320534933,0.0729706433354592,0.0086843426153733,0.0145067087817978,0.0196125067019991,0.0248134941687889
PETS_U_BF_EAA_DFULL,2,100002,0.0014962985052526,0.013736364935319,0.0155970206748199,0.0080241802360435,0.0133845729592144,0.072758611908305,0.0086050117095033,0.0142994230114794,0.019590329805831,0.0250679277257966
PETS_U_BF_EAA_DFULL,2,100003,0.0014735629782925,0.0148862126142961,0.016176745649164,0.0079844474637273,0.0132842938658645,0.0723979370393991,0.0085157112979686,0.0142283760548888,0.0188889247587574,0.0238122817961488
PETS_U_BF_EAA_DFULL,2,100004,0.0015145269547392,0.0172337124120674,0.0163119437471603,0.0080439272814209,0.0134606466144582,0.0736255602501417,0.0085753415179895,0.0143717129843813,0.0195889261632154,0.0249639158973381
PETS_U_BF_EAA_DFULL,42,100000,0.0014876558044119,0.010628021390879,0.0186929866272842,0.0078467292564247,0.013313326715527,0.0758001279939059,0.0084220637284911,0.0141135909153031,0.0184306577771551,0.0225329646997919
PETS_U_BF_EAA_DFULL,42,100001,0.0015137282819189,0.0113878190132294,0.0195349596230094,0.0080238920516494,0.0135477806846625,0.0760813602784864,0.0086440733491659,0.0145121932542109,0.0189950052963534,0.0233103476688891
PETS_U_BF_EAA_DFULL,42,100002,0.0014924110983792,0.0096220028990925,0.0181423125130908,0.0079527937305309,0.0134485038042765,0.0759368688881803,0.0085664304454367,0.0143583411691369,0.019057373815085,0.0237991602252677
PETS_U_BF_EAA_DFULL,42,100003,0.0014751275340071,0.0112354998737601,0.0186690968006963,0.0079142553333711,0.0133795248461759,0.0761641245039683,0.0085493326818014,0.0142578981512493,0.0181654646605036,0.0218799642765444
PETS_U_BF_EAA_DFULL,42,100004,0.001505088893138,0.0116752156074966,0.0184880768111488,0.0079816007155276,0.0135658324180961,0.0769441565688776,0.0085990457387415,0.014446606826681,0.0197084205533273,0.0249918722688425
PETS_U_BF_EAA_DFULL,123,100000,0.0014028505960112,0.0132725933132553,0.0175368850207252,0.0074006024454121,0.0121175313005066,0.0612374995571145,0.0078904200674115,0.012949008291924,0.0163060419347294,0.0194864740095037
PETS_U_BF_EAA_DFULL,123,100001,0.0014319407763879,0.0138024312556398,0.0184418337741873,0.0076197920431388,0.012420266545299,0.0615234375,0.0081838901286775,0.0133046993974086,0.016736086786014,0.0198803923281677
PETS_U_BF_EAA_DFULL,123,100002,0.0014164125719615,0.0122567550481301,0.0176808063434181,0.0075806395491245,0.0123024601984626,0.060633237670068,0.0081338455327502,0.0131322457840094,0.0166951639178486,0.0202866415893839
PETS_U_BF_EAA_DFULL,123,100003,0.0013943364616229,0.0129323318735353,0.0181313279632587,0.0074973311350625,0.0121856436340208,0.060767487333475,0.0079885795445113,0.0131129906769696,0.0157996615727148,0.0185106304471739
