system,seed,draw,metric,value,evaluator_sd
PETS_U_BF_EAA_DAA,42,100000,predictive_score,0.1163495378978799,0.0051959447927425
PETS_U_BF_EAA_DAA,42,100001,context_fid,0.870510061256033,0.0832831974032192
PETS_U_BF_EAA_DAA,42,100001,correlation_score,0.0762622877955436,
PETS_U_BF_EAA_DAA,42,100001,discriminative_score,0.1262195121951219,0.010037852215338
PETS_U_BF_EAA_DAA,42,100001,predictive_score,0.1142283208414483,0.0064125463588824
PETS_U_BF_EAA_DAA,42,100002,context_fid,0.8195714976361108,0.077512295467207
PETS_U_BF_EAA_DAA,42,100002,correlation_score,0.0793437659740448,
PETS_U_BF_EAA_DAA,42,100002,discriminative_score,0.1392276422764227,0.003920183236176
PETS_U_BF_EAA_DAA,42,100002,predictive_score,0.1154329282908293,0.0048109928177366
PETS_U_BF_EAA_DAA,42,100003,context_fid,0.8235870523671417,0.0757197599495943
PETS_U_BF_EAA_DAA,42,100003,correlation_score,0.0758083537220954,
PETS_U_BF_EAA_DAA,42,100003,discriminative_score,0.1390243902439024,0.0063367712472032
PETS_U_BF_EAA_DAA,42,100003,predictive_score,0.1148613027129765,0.0048976112796643
PETS_U_BF_EAA_DAA,42,100004,context_fid,0.8587653868794566,0.0840189428953578
PETS_U_BF_EAA_DAA,42,100004,correlation_score,0.0689167007803917,
PETS_U_BF_EAA_DAA,42,100004,discriminative_score,0.1414634146341463,0.0120108021973123
PETS_U_BF_EAA_DAA,42,100004,predictive_score,0.1146313642268523,0.0052905850170486
PETS_U_BF_EAA_DAA,123,100000,context_fid,0.8356064961174479,0.0839774655884532
PETS_U_BF_EAA_DAA,123,100000,correlation_score,0.0714155808091163,
PETS_U_BF_EAA_DAA,123,100000,discriminative_score,0.1396341463414634,0.0314068786821363
PETS_U_BF_EAA_DAA,123,100000,predictive_score,0.1143583718711245,0.0068180180995352
PETS_U_BF_EAA_DAA,123,100001,context_fid,0.8927058322433462,0.0872013002101926
PETS_U_BF_EAA_DAA,123,100001,correlation_score,0.0822500139474868,
PETS_U_BF_EAA_DAA,123,100001,discriminative_score,0.1449186991869918,0.0129252951996623
PETS_U_BF_EAA_DAA,123,100001,predictive_score,0.1134908772792187,0.0090886602218288
PETS_U_BF_EAA_DAA,123,100002,context_fid,0.8635298135471164,0.0845322373229978
PETS_U_BF_EAA_DAA,123,100002,correlation_score,0.0775337368249893,
PETS_U_BF_EAA_DAA,123,100002,discriminative_score,0.1534552845528455,0.008119912339609
PETS_U_BF_EAA_DAA,123,100002,predictive_score,0.1137715175488362,0.0080394300229791
PETS_U_BF_EAA_DAA,123,100003,context_fid,0.8529534035150302,0.0817162839658776
PETS_U_BF_EAA_DAA,123,100003,correlation_score,0.0805939063429832,
PETS_U_BF_EAA_DAA,123,100003,discriminative_score,0.1522357723577236,0.0131675319810939
PETS_U_BF_EAA_DAA,123,100003,predictive_score,0.1140430923745346,0.0070495335932353
