system,seed,draw,path,sha256,shape,archived_reuse,checkpoint_sha256,paired_noise_group
PETS_U_BF_EFULL_DFULL,0,100000,samples/PETS_U_BF_EFULL_DFULL/seed_0/draw_100000/samples.npy,fd4fcd9d3847f806de71f3683eaba1ca43a33bb1fffd67a9b59712c8b590d2d1,4096x128x7,True,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100000
PETS_U_BF_EFULL_DFULL,0,100001,samples/PETS_U_BF_EFULL_DFULL/seed_0/draw_100001/samples.npy,37611cbbcc76b8fbe9596a808459e16fbebc606d3c1183c79198e7f87a0d5045,4096x128x7,True,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100001
PETS_U_BF_EFULL_DFULL,0,100002,samples/PETS_U_BF_EFULL_DFULL/seed_0/draw_100002/samples.npy,ea7ce85028ee3ff4a47456fc5d8d17a944c034913a0f9537a269d245ef12ff49,4096x128x7,True,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100002
PETS_U_BF_EFULL_DFULL,0,100003,samples/PETS_U_BF_EFULL_DFULL/seed_0/draw_100003/samples.npy,2b13816566738f0fd56ad01994dd96d7e63f27f878a8a272d66e993e5197c6a4,4096x128x7,True,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100003
PETS_U_BF_EFULL_DFULL,0,100004,samples/PETS_U_BF_EFULL_DFULL/seed_0/draw_100004/samples.npy,906c5214fd887cfddcf4f7302d36d4167eb534a8cb948c9a7c7fa601981920fe,4096x128x7,True,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100004
PETS_U_BF_EFULL_DFULL,1,100000,samples/PETS_U_BF_EFULL_DFULL/seed_1/draw_100000/samples.npy,c42fc2251dd9cc9c489164a2122ab0341b72fe3185253d1e011f996f01462ef5,4096x128x7,True,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100000
PETS_U_BF_EFULL_DFULL,1,100001,samples/PETS_U_BF_EFULL_DFULL/seed_1/draw_100001/samples.npy,c70608ad6aac34c10cf32e6ce13a5ddd0581d514f1aa995913022595b6a46737,4096x128x7,True,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100001
PETS_U_BF_EFULL_DFULL,1,100002,samples/PETS_U_BF_EFULL_DFULL/seed_1/draw_100002/samples.npy,9bd899ca1c0584e9628e22a610e14da1b9a82dc66b2bfb299d7e40ba6a3d6df4,4096x128x7,True,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100002
PETS_U_BF_EFULL_DFULL,1,100003,samples/PETS_U_BF_EFULL_DFULL/seed_1/draw_100003/samples.npy,fcfa4639a9ee65feec1159a023ecc408c1b1e5c79314a8d04e06d4c7a8548b05,4096x128x7,True,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100003
PETS_U_BF_EFULL_DFULL,1,100004,samples/PETS_U_BF_EFULL_DFULL/seed_1/draw_100004/samples.npy,c29cd30a581398b5813b1eb5176ca7d238e167dbeda467039ff79e4010732bba,4096x128x7,True,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100004
PETS_U_BF_EFULL_DFULL,2,100000,samples/PETS_U_BF_EFULL_DFULL/seed_2/draw_100000/samples.npy,d06f8242b8bbc4ec0f3b22f1ac8754be33cc30677625eab5ac5b62a0d6e7e63b,4096x128x7,True,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100000
PETS_U_BF_EFULL_DFULL,2,100001,samples/PETS_U_BF_EFULL_DFULL/seed_2/draw_100001/samples.npy,c75afe72d389c2e2e2991f035041186af0aaa3d7a73c39dc13edb3410ba2ee50,4096x128x7,True,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100001
PETS_U_BF_EFULL_DFULL,2,100002,samples/PETS_U_BF_EFULL_DFULL/seed_2/draw_100002/samples.npy,dd1e1665655e2a7a4cf85709d0d41dee238f3e40609a410a1905e1c74ffcf13d,4096x128x7,True,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100002
PETS_U_BF_EFULL_DFULL,2,100003,samples/PETS_U_BF_EFULL_DFULL/seed_2/draw_100003/samples.npy,6dd78c185aff710bb8f5f452cf913676c82b68b4660caa9a3587d554fa87e4dc,4096x128x7,True,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100003
PETS_U_BF_EFULL_DFULL,2,100004,samples/PETS_U_BF_EFULL_DFULL/seed_2/draw_100004/samples.npy,488632bbfa8f65923e15428e78e5488966347978de5acd06394d401bbdd6eb3c,4096x128x7,True,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100004
PETS_U_BF_EFULL_DFULL,42,100000,samples/PETS_U_BF_EFULL_DFULL/seed_42/draw_100000/samples.npy,80db503fac6e0008d46476d70ac0678cfc6346291391691d5c146ecdfb6dab46,4096x128x7,True,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100000
PETS_U_BF_EFULL_DFULL,42,100001,samples/PETS_U_BF_EFULL_DFULL/seed_42/draw_100001/samples.npy,1001b227b52e0aa376d2c463c9f916e681b805b72f85e395d8d1b15c862035ce,4096x128x7,True,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100001
PETS_U_BF_EFULL_DFULL,42,100002,samples/PETS_U_BF_EFULL_DFULL/seed_42/draw_100002/samples.npy,8f4ad4c29ad24db52a896afd1fffa18df529cddbec964921b8098c6f30e57965,4096x128x7,True,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100002
PETS_U_BF_EFULL_DFULL,42,100003,samples/PETS_U_BF_EFULL_DFULL/seed_42/draw_100003/samples.npy,e659fa6bffaac613fd4dffe1fb14204ad3a2bfaccae417107246a8ae376a4e7c,4096x128x7,True,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100003
PETS_U_BF_EFULL_DFULL,42,100004,samples/PETS_U_BF_EFULL_DFULL/seed_42/draw_100004/samples.npy,81ab3ed9c40700a989ba80a24f3c103e58f5726074bf5ffda0d250bcf274b68d,4096x128x7,True,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100004
PETS_U_BF_EFULL_DFULL,123,100000,samples/PETS_U_BF_EFULL_DFULL/seed_123/draw_100000/samples.npy,b197d15a64e6828206751b68a8bbca2268bc72496cf1ae2614c672466eef7b76,4096x128x7,True,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100000
PETS_U_BF_EFULL_DFULL,123,100001,samples/PETS_U_BF_EFULL_DFULL/seed_123/draw_100001/samples.npy,97728a721d732e9bccfbf8491f43892a05cee7433923c52e9b2094b93d7362a6,4096x128x7,True,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100001
PETS_U_BF_EFULL_DFULL,123,100002,samples/PETS_U_BF_EFULL_DFULL/seed_123/draw_100002/samples.npy,e72fadc1f2fc703d841d233eaddf780c4cc54c060b789a756413d46ade8bca3d,4096x128x7,True,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100002
PETS_U_BF_EFULL_DFULL,123,100003,samples/PETS_U_BF_EFULL_DFULL/seed_123/draw_100003/samples.npy,7cb1aebd285ad38616099b05d9439dab7cf823eb8fa322c55485238970b7ac00,4096x128x7,True,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100003
PETS_U_BF_EFULL_DFULL,123,100004,samples/PETS_U_BF_EFULL_DFULL/seed_123/draw_100004/samples.npy,4fd298ac6ecae4949f991dc4308ac62c0472c2e89094578b0d812b3681ae4ce5,4096x128x7,True,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100004
PETS_U_BF_EAA_DFULL,0,100000,samples/PETS_U_BF_EAA_DFULL/seed_0/draw_100000/samples.npy,a380902f36e1533f1455a1bb1c9c92d7d1f3f8f09f876a631e29fd5e58d2cc15,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100000
PETS_U_BF_EAA_DFULL,0,100001,samples/PETS_U_BF_EAA_DFULL/seed_0/draw_100001/samples.npy,1ccdcafa720354e6466b02f7d36f07ab7f7b708bb5c295b977db19d2ec81d0ae,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100001
PETS_U_BF_EAA_DFULL,0,100002,samples/PETS_U_BF_EAA_DFULL/seed_0/draw_100002/samples.npy,15a5b865351bc89191e13be2ad529637b9e5ef12afe9d5715e280d260bbc90cb,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100002
PETS_U_BF_EAA_DFULL,0,100003,samples/PETS_U_BF_EAA_DFULL/seed_0/draw_100003/samples.npy,e8662ff6c1bd4bca26af3b39fcf0442098b8cd3313217404fc35df4490195aca,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100003
PETS_U_BF_EAA_DFULL,0,100004,samples/PETS_U_BF_EAA_DFULL/seed_0/draw_100004/samples.npy,a7e2368d2ecd10aafce3419c3d31fe35e4e89f3b76dc6c2fc0bafd74bb4ac73f,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100004
PETS_U_BF_EAA_DFULL,1,100000,samples/PETS_U_BF_EAA_DFULL/seed_1/draw_100000/samples.npy,012a214799737742cd9f19c3349d93ce7c4c4586b0bc9be4fcac1d8862ff67fd,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100000
PETS_U_BF_EAA_DFULL,1,100001,samples/PETS_U_BF_EAA_DFULL/seed_1/draw_100001/samples.npy,31676e11383cbc783e01b9d0b33fda27c356e2603f3d633e534258630c92d2d7,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100001
PETS_U_BF_EAA_DFULL,1,100002,samples/PETS_U_BF_EAA_DFULL/seed_1/draw_100002/samples.npy,f0e75463c5a144c8abb09d72f9452297e7104a643fb6af76dc4046687d826c49,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100002
PETS_U_BF_EAA_DFULL,1,100003,samples/PETS_U_BF_EAA_DFULL/seed_1/draw_100003/samples.npy,12b1c5f79c3164d9a61d520dd54555bd9b31f43e9f6a368857fddc88524e6129,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100003
PETS_U_BF_EAA_DFULL,1,100004,samples/PETS_U_BF_EAA_DFULL/seed_1/draw_100004/samples.npy,ce8381da085d6e26e9b2c52959b8b5380cf92fd43decf48732c10b9aca6374a4,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100004
PETS_U_BF_EAA_DFULL,2,100000,samples/PETS_U_BF_EAA_DFULL/seed_2/draw_100000/samples.npy,0824b2f0a22629211f31978b2e2c9881f53a66082b80856fc24cd6bedcf618f5,4096x128x7,False,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100000
PETS_U_BF_EAA_DFULL,2,100001,samples/PETS_U_BF_EAA_DFULL/seed_2/draw_100001/samples.npy,680375596c47dae092e825baa8eac1f6f5dee3eed8cba85e0f9622b3c7001840,4096x128x7,False,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100001
PETS_U_BF_EAA_DFULL,2,100002,samples/PETS_U_BF_EAA_DFULL/seed_2/draw_100002/samples.npy,b5744339d1e994ec045b400c9197db036ca1c6506866660e0bc0d4b7c85eb20b,4096x128x7,False,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100002
PETS_U_BF_EAA_DFULL,2,100003,samples/PETS_U_BF_EAA_DFULL/seed_2/draw_100003/samples.npy,65ba0560f5d851a55859480f8ba669016072ebac3c2242764faa8d627462436a,4096x128x7,False,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100003
PETS_U_BF_EAA_DFULL,2,100004,samples/PETS_U_BF_EAA_DFULL/seed_2/draw_100004/samples.npy,e6e8b12178a4d354050139cb8abc5a4d90bcd0f632ee3042e0aa31af51887ac6,4096x128x7,False,08459c26b2f89d9b1c5bd196d3bf685e9326423373b5449d661505e957e569d8,2:100004
PETS_U_BF_EAA_DFULL,42,100000,samples/PETS_U_BF_EAA_DFULL/seed_42/draw_100000/samples.npy,5873928db4e44aeb04287c0dff668ed8b39eda580c39079b7515810dbb7b1a19,4096x128x7,False,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100000
PETS_U_BF_EAA_DFULL,42,100001,samples/PETS_U_BF_EAA_DFULL/seed_42/draw_100001/samples.npy,89a0d1cfcf5edd53c2feed8b2c9e2fa2986fb250718faae8fd53845128c4738f,4096x128x7,False,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100001
PETS_U_BF_EAA_DFULL,42,100002,samples/PETS_U_BF_EAA_DFULL/seed_42/draw_100002/samples.npy,ae0fc696348aa80267dee1d6c8f9b5bd9537e9d544299b6d9644204d3330bccd,4096x128x7,False,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100002
PETS_U_BF_EAA_DFULL,42,100003,samples/PETS_U_BF_EAA_DFULL/seed_42/draw_100003/samples.npy,37d058511704a72f76393f44db1011b49d454ce9ad41f9e65b104483d6235405,4096x128x7,False,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100003
PETS_U_BF_EAA_DFULL,42,100004,samples/PETS_U_BF_EAA_DFULL/seed_42/draw_100004/samples.npy,e4d9a9c89bb489151d741efc9839b922d78b192d9cd0b005e7af53ff8bb961da,4096x128x7,False,1e01ac267aecb1168c8bfa316da9b49807df8a003d21b79384ceafc5a3636973,42:100004
PETS_U_BF_EAA_DFULL,123,100000,samples/PETS_U_BF_EAA_DFULL/seed_123/draw_100000/samples.npy,b63e0e19779b778fb13a50e31e00f2fac0222e51e63cea64dc3fa0c5bd4397e1,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100000
PETS_U_BF_EAA_DFULL,123,100001,samples/PETS_U_BF_EAA_DFULL/seed_123/draw_100001/samples.npy,20d7c18c2d61d58a0fc87d0b86522328fcae57b890d000ed14e2befa8a7a33af,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100001
PETS_U_BF_EAA_DFULL,123,100002,samples/PETS_U_BF_EAA_DFULL/seed_123/draw_100002/samples.npy,227a3b6da360fe89b5e14c8131c8858834af70c2afc8f26ce505b41ecb319ba6,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100002
PETS_U_BF_EAA_DFULL,123,100003,samples/PETS_U_BF_EAA_DFULL/seed_123/draw_100003/samples.npy,43eda72ac58d9fdb51057e6c9fd372e636ffc4f598205154f31dfaceefdb1b5f,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100003
PETS_U_BF_EAA_DFULL,123,100004,samples/PETS_U_BF_EAA_DFULL/seed_123/draw_100004/samples.npy,100657f6205ecb757d6f7501cb1c94714364c86ea1a943005821e4a4f6229b92,4096x128x7,False,562a89cc61b59ea5e1b977775bc6ed4ec20d3fd34f587e58387577b99710155a,123:100004
PETS_U_BF_EFULL_DAA,0,100000,samples/PETS_U_BF_EFULL_DAA/seed_0/draw_100000/samples.npy,199c961d8c546483a8dd77d01bb63ae3d22952afef0d5e9a585082e4a5290385,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100000
PETS_U_BF_EFULL_DAA,0,100001,samples/PETS_U_BF_EFULL_DAA/seed_0/draw_100001/samples.npy,aaf5c5492eae0de40ba7117995dc6b861ebe601f926fc31b71ac4dca51b9b1c6,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100001
PETS_U_BF_EFULL_DAA,0,100002,samples/PETS_U_BF_EFULL_DAA/seed_0/draw_100002/samples.npy,0e1db061e0e8c0b49d26d78fcb58827e166983b644afba3a6cd0ed5c4366535c,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100002
PETS_U_BF_EFULL_DAA,0,100003,samples/PETS_U_BF_EFULL_DAA/seed_0/draw_100003/samples.npy,357a1b4662f37fcc25bce87fdde2238df39c0e312efd07127388de080b1697f7,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100003
PETS_U_BF_EFULL_DAA,0,100004,samples/PETS_U_BF_EFULL_DAA/seed_0/draw_100004/samples.npy,fa39b9f4cb74e31c18889162697783b8f1599f523e58572a18a2b7763e1e4d34,4096x128x7,False,0a934787cd6c41b5bd6ece93c10f79135b6bc5bebddbf64ab6b38fab9fcbf7cd,0:100004
PETS_U_BF_EFULL_DAA,1,100000,samples/PETS_U_BF_EFULL_DAA/seed_1/draw_100000/samples.npy,29f88e4e5a36dfa920d90177b43b258bd99da14757307fc87d65c4c99e5262e7,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100000
PETS_U_BF_EFULL_DAA,1,100001,samples/PETS_U_BF_EFULL_DAA/seed_1/draw_100001/samples.npy,cf61e899b985ad76ca76d45603ebf4f54654a7b98a146400e0b8ce85224f55c8,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100001
PETS_U_BF_EFULL_DAA,1,100002,samples/PETS_U_BF_EFULL_DAA/seed_1/draw_100002/samples.npy,73bf8889fdc7886840162c8d7bad054d2c93c10397f4c8ac9ca66f31e2a58e33,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100002
PETS_U_BF_EFULL_DAA,1,100003,samples/PETS_U_BF_EFULL_DAA/seed_1/draw_100003/samples.npy,d688ecac9f0463d21cbe24f064ffcfc45b1442eed6c9412ff4b2f812d30511b8,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100003
PETS_U_BF_EFULL_DAA,1,100004,samples/PETS_U_BF_EFULL_DAA/seed_1/draw_100004/samples.npy,3fc1661950ed38c5b713ab87beac6e7bc65f7513b7e9c90b02e989b0526f0313,4096x128x7,False,e8de4f523f70cee56ca8a508304cfd0378050248c3aacd6f4e37ad1f55dbd4e9,1:100004
