system,metric,direction,generative_seed_count,draws_per_seed,five_seed_mean,five_seed_sample_sd,cell_median,cell_minimum,cell_maximum
PETS_U_BF_FULL,context_fid,lower_is_better,5,5,0.884358679055917,0.0693657215766788,0.9138020504854186,0.7669305041422638,0.9602910958147058
PETS_U_BF_FULL,correlation_score,lower_is_better,5,5,0.08110093981027597,0.00977980148095316,0.0804660469293594,0.0642793625593185,0.1010181456804275
PETS_U_BF_FULL,discriminative_score,lower_is_better,5,5,0.1404390243902439,0.015850020428924694,0.13821138211382114,0.11097560975609749,0.17682926829268295
PETS_U_BF_FULL,predictive_score,lower_is_better,5,5,0.11607903868194622,0.0011520769074711314,0.11618160511913322,0.11358816447758117,0.11891442455422897
PETS_U_BF_ANTI_ANCHOR,context_fid,lower_is_better,5,5,0.8137909477464375,0.051768055136443746,0.8283396184729838,0.7110064716021438,0.8703792391135637
PETS_U_BF_ANTI_ANCHOR,correlation_score,lower_is_better,5,5,0.07662787675857538,0.0021574215610560875,0.0763679295778274,0.0703489184379577,0.0871501937508583
PETS_U_BF_ANTI_ANCHOR,discriminative_score,lower_is_better,5,5,0.1360975609756097,0.017649089201984183,0.13292682926829266,0.11280487804878044,0.16646341463414635
PETS_U_BF_ANTI_ANCHOR,predictive_score,lower_is_better,5,5,0.11738403243264348,0.002561360480044635,0.11676341072143254,0.11238153763542863,0.12582645155453062
DIFFTS_U_ORIGINAL,context_fid,lower_is_better,5,5,1.0611240534708766,0.7047982990029987,0.5782065281840255,0.5002102935122027,1.9601335184877042
DIFFTS_U_ORIGINAL,correlation_score,lower_is_better,5,5,0.10070254683494564,0.016603818694373655,0.0970623418688774,0.0732171386480331,0.1335007399320602
DIFFTS_U_ORIGINAL,discriminative_score,lower_is_better,5,5,0.15309756097560973,0.048358740851843184,0.12825203252032516,0.10426829268292674,0.21300813008130073
DIFFTS_U_ORIGINAL,predictive_score,lower_is_better,5,5,0.11719822812178786,0.00188833604274927,0.11671217048024117,0.1147517964568578,0.12470101321256753
