family,system,seed,draw,spectral_fidelity_error,period_histogram_jsd,amplitude_fidelity_error,slope_fidelity_error,curvature_fidelity_error,turning_point_fidelity_error
PETS_U,PETS_U_BF_FULL,0,100000,0.0014208838980121292,0.01620524765282672,0.017385670103348013,0.007629361339281042,0.012522639934862176,0.06640016032454654
PETS_U,PETS_U_BF_FULL,0,100001,0.0014093054869030411,0.016984777482521585,0.01745155175849838,0.007639032242739024,0.012528388552137101,0.0668596540178572
PETS_U,PETS_U_BF_FULL,0,100002,0.0014179364994598305,0.017163551397371152,0.017285333339916643,0.007722498094119207,0.012737425024564764,0.06797240380527214
PETS_U,PETS_U_BF_FULL,0,100003,0.0014351097933097438,0.017064257643442514,0.016599738594337603,0.007749207550168995,0.012715684233567198,0.06797600224985834
PETS_U,PETS_U_BF_FULL,0,100004,0.0014374167954885264,0.018112852337185143,0.017402283870096447,0.007767878331231052,0.012783082484885168,0.06845625620039686
PETS_U,PETS_U_BF_FULL,1,100000,0.0013645408486313616,0.01565543091140179,0.015506364358860698,0.007312570456750607,0.012093421955692255,0.06563369162769278
PETS_U,PETS_U_BF_FULL,1,100001,0.0013555028748356065,0.013451221106109369,0.015190498689496724,0.007360809621532301,0.012180817277659808,0.06601401954010777
PETS_U,PETS_U_BF_FULL,1,100002,0.0013609826157657456,0.014196025798443455,0.014636330787014387,0.007409085385894916,0.012319521841857528,0.06696428571428575
PETS_U,PETS_U_BF_FULL,1,100003,0.0013766668287086947,0.01505435990541525,0.014663861765418418,0.0074437004993239755,0.012282972135040447,0.06668277662627559
PETS_U,PETS_U_BF_FULL,1,100004,0.001385053798023422,0.018466001299422833,0.015087825855863143,0.007452086060059662,0.012320910877387459,0.06675557592828801
PETS_U,PETS_U_BF_FULL,2,100000,0.0014756714820763621,0.014929626057928741,0.0161734965668658,0.007823967654302495,0.01318882752444369,0.07311042906746035
